seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1573102,-2.678,0.493,-9.559,-1.644,-0.286,0.239,177.044,15.632,0.050,-0.273,0.239,0.000000,0.000000,0.00,0,0
1,1583088,-2.683,0.474,-9.545,-1.247,-0.011,0.269,177.095,15.657,0.048,-0.274,0.269,0.000000,0.000000,0.00,0,0
2,1593101,-2.621,0.491,-9.588,-0.851,0.203,0.025,177.081,15.527,0.050,-0.267,0.025,0.000000,0.000000,0.00,0,0
3,1603101,-2.633,0.505,-9.614,-0.881,0.447,-0.250,177.051,15.469,0.052,-0.268,-0.250,0.000000,0.000000,0.00,0,0
4,1613088,-2.631,0.525,-9.641,-0.820,0.599,-0.219,177.009,15.423,0.053,-0.268,-0.219,0.000000,0.000000,0.00,0,0
5,1623090,-2.631,0.553,-9.636,-0.637,0.844,0.117,176.946,15.394,0.056,-0.268,0.117,0.000000,0.000000,0.00,0,0
6,1633082,-2.609,0.529,-9.612,-0.576,0.783,0.666,176.922,15.357,0.054,-0.266,0.666,0.000000,0.000000,0.00,0,0
7,1643093,-2.576,0.459,-9.614,-0.362,0.599,0.971,176.973,15.296,0.047,-0.263,0.971,0.000000,0.000000,0.00,0,0
8,1653083,-2.578,0.406,-9.590,-0.728,0.508,0.910,177.061,15.252,0.041,-0.263,0.910,0.000000,0.000000,0.00,0,0
9,1663085,-2.595,0.406,-9.576,-1.034,0.386,0.727,177.135,15.230,0.041,-0.265,0.727,0.000000,0.000000,0.00,0,0
10,1673100,-2.633,0.421,-9.598,-1.400,0.416,0.544,177.185,15.239,0.043,-0.268,0.544,0.000000,0.000000,0.00,0,0
11,1683099,-2.643,0.443,-9.643,-1.736,0.538,0.269,177.210,15.245,0.045,-0.269,0.269,0.000000,0.000000,0.00,0,0
12,1693095,-2.640,0.474,-9.670,-1.858,0.813,0.086,177.204,15.245,0.048,-0.269,0.086,0.000000,0.000000,0.00,0,0
13,1703095,-2.602,0.508,-9.662,-1.858,1.118,-0.067,177.168,15.217,0.052,-0.265,-0.067,0.000000,0.000000,0.00,0,0
14,1713100,-2.569,0.505,-9.600,-1.827,1.271,-0.311,177.135,15.178,0.052,-0.262,-0.311,0.000000,0.000000,0.00,0,0
15,1723091,-2.564,0.520,-9.523,-1.675,0.935,-0.463,177.090,15.154,0.053,-0.261,-0.463,0.000000,0.000000,0.00,0,0
16,1733094,-2.564,0.517,-9.470,-1.369,0.447,-0.433,177.053,15.141,0.053,-0.261,-0.433,0.000000,0.000000,0.00,0,0
17,1743105,-2.619,0.510,-9.470,-1.034,-0.011,-0.433,177.029,15.172,0.052,-0.267,-0.433,0.000000,0.000000,0.00,0,0
18,1753109,-2.638,0.488,-9.535,-0.667,-0.347,-0.463,177.033,15.199,0.050,-0.269,-0.463,4.638150,-74.084432,0.75,0,1
19,1763100,-2.671,0.464,-9.566,-0.759,-0.469,-0.555,177.059,15.244,0.047,-0.272,-0.555,4.638150,-74.084432,0.75,0,1
20,1773091,-2.683,0.469,-9.605,-0.851,-0.499,-0.646,177.079,15.285,0.048,-0.274,-0.646,4.638150,-74.084432,0.75,0,1
21,1783092,-2.709,0.476,-9.626,-0.912,-0.286,-0.616,177.091,15.340,0.049,-0.276,-0.616,4.638150,-74.084432,0.75,0,1
22,1793112,-2.669,0.515,-9.607,-1.247,-0.041,-0.524,177.065,15.363,0.053,-0.272,-0.524,4.638150,-74.084432,0.75,0,1
23,1803104,-2.638,0.553,-9.629,-1.461,-0.011,-0.341,177.009,15.353,0.056,-0.269,-0.341,4.638150,-74.084432,0.75,0,1
24,1813098,-2.635,0.561,-9.638,-1.400,0.020,-0.158,176.953,15.342,0.057,-0.269,-0.158,4.638150,-74.084432,0.75,0,1
25,1823106,-2.602,0.563,-9.607,-1.095,0.264,-0.128,176.904,15.314,0.057,-0.265,-0.128,4.638150,-74.084432,0.75,0,1
26,1833102,-2.597,0.578,-9.598,-0.912,0.264,-0.097,176.849,15.288,0.059,-0.265,-0.097,4.638150,-74.084432,0.75,0,1
27,1843119,-2.604,0.582,-9.595,-0.912,0.172,-0.097,176.797,15.269,0.059,-0.266,-0.097,4.638150,-74.084432,0.75,0,1
