seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1586119,-4.240,1.397,-8.827,0.187,-17.101,6.403,171.004,25.381,0.142,-0.432,6.403,0.000000,0.000000,0.00,0,0
1,1596110,-4.374,1.257,-9.012,2.537,-18.016,5.854,171.544,25.437,0.128,-0.446,5.854,0.000000,0.000000,0.00,0,0
2,1606110,-4.467,1.241,-9.173,4.856,-18.047,4.847,171.832,25.428,0.127,-0.455,4.847,4.637713,-74.084417,0.09,0,1
3,1616118,-4.595,1.200,-9.321,6.962,-17.040,3.992,172.104,25.467,0.122,-0.469,3.992,4.637713,-74.084417,0.09,0,1
4,1626108,-4.667,1.154,-9.442,8.763,-15.209,3.168,172.378,25.496,0.118,-0.476,3.168,4.637713,-74.084417,0.09,0,1
5,1636114,-4.655,1.202,-9.634,9.678,-12.523,2.802,172.562,25.425,0.123,-0.475,2.802,4.637713,-74.084417,0.09,0,1
6,1646103,-4.629,1.036,-9.687,10.044,-9.258,3.077,172.887,25.355,0.106,-0.472,3.077,4.637713,-74.084417,0.09,0,1
7,1656122,-4.569,0.833,-9.648,9.068,-6.481,3.351,173.338,25.294,0.085,-0.466,3.351,4.637713,-74.084417,0.09,0,1
8,1666112,-4.603,0.833,-9.701,6.718,-4.680,2.985,173.703,25.264,0.085,-0.469,2.985,4.637713,-74.084417,0.09,0,1
9,1676125,-4.581,0.925,-9.744,4.734,-3.734,2.588,173.921,25.213,0.094,-0.467,2.588,4.637713,-74.084417,0.09,0,1
10,1686113,-4.626,0.925,-9.658,3.758,-3.063,2.070,174.095,25.238,0.094,-0.472,2.070,4.637713,-74.084417,0.09,0,1
11,1696131,-4.712,0.910,-9.593,3.605,-2.880,1.185,174.252,25.349,0.093,-0.481,1.185,4.637713,-74.084417,0.09,0,1
12,1706119,-4.841,0.973,-9.643,4.185,-3.215,0.055,174.341,25.521,0.099,-0.494,0.055,4.637713,-74.084417,0.09,0,1
13,1716113,-5.005,1.031,-9.759,5.497,-3.459,-1.226,174.386,25.748,0.105,-0.510,-1.226,4.637713,-74.084417,0.09,4,1
14,1726121,-5.153,1.050,-9.821,7.084,-3.185,-1.989,174.422,26.036,0.107,-0.525,-1.989,4.637713,-74.084417,0.09,4,1
15,1736117,-5.282,1.028,-9.749,7.755,-2.147,-1.928,174.466,26.420,0.105,-0.539,-1.928,4.637713,-74.084417,0.09,4,1
16,1746107,-5.363,0.958,-9.773,7.206,-0.865,-1.348,174.558,26.822,0.098,-0.547,-1.348,4.637713,-74.084417,0.09,4,1
17,1756122,-5.463,0.983,-9.859,4.887,0.783,-0.128,174.601,27.228,0.100,-0.557,-0.128,4.637713,-74.084417,0.09,4,1
18,1766113,-5.430,1.142,-10.116,2.781,3.132,2.192,174.506,27.486,0.116,-0.554,2.192,4.637713,-74.084417,0.09,4,1
19,1776123,-5.380,1.286,-10.354,0.401,7.252,5.793,174.301,27.626,0.131,-0.549,5.793,4.637713,-74.084417,0.09,4,1
