seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1653110,-1.751,-4.227,-8.063,-17.483,-21.892,-2.081,-152.335,10.881,-0.431,-0.179,-2.081,0.000000,0.000000,0.00,0,0
1,1663092,-1.908,-4.326,-8.294,-19.619,-23.235,-0.006,-152.492,11.090,-0.441,-0.195,-0.006,0.000000,0.000000,0.00,0,0
2,1673086,-2.051,-4.502,-8.512,-21.908,-23.113,0.971,-152.512,11.255,-0.459,-0.209,0.971,0.000000,0.000000,0.00,0,0
3,1683084,-2.106,-4.649,-8.577,-23.983,-22.167,0.757,-152.435,11.335,-0.474,-0.215,0.757,0.000000,0.000000,0.00,0,0
4,1693087,-2.056,-4.705,-8.481,-24.441,-21.800,-0.402,-152.307,11.308,-0.480,-0.210,-0.402,0.000000,0.000000,0.00,0,0
5,1703084,-2.080,-4.654,-8.728,-26.150,-21.739,-1.592,-152.436,11.250,-0.475,-0.212,-1.592,0.000000,0.000000,0.00,0,0
6,1713086,-2.080,-4.688,-8.661,-28.011,-20.488,-3.240,-152.503,11.212,-0.478,-0.212,-3.240,0.000000,0.000000,0.00,0,0
7,1723084,-2.173,-4.654,-8.402,-29.354,-20.305,-4.705,-152.483,11.313,-0.475,-0.222,-4.705,0.000000,0.000000,0.00,0,0
8,1733086,-2.235,-4.579,-8.452,-29.507,-20.824,-6.140,-152.552,11.449,-0.467,-0.228,-6.140,0.000000,0.000000,0.00,0,0
9,1743084,-2.271,-4.526,-8.510,-30.147,-20.732,-7.238,-152.678,11.597,-0.462,-0.232,-7.238,0.000000,0.000000,0.00,0,0
10,1753086,-2.111,-4.558,-8.301,-29.293,-20.824,-8.459,-152.657,11.629,-0.465,-0.215,-8.459,0.000000,0.000000,0.00,0,0
11,1763084,-1.782,-3.617,-8.603,-27.614,-22.624,-8.642,-153.523,11.379,-0.369,-0.182,-8.642,0.000000,0.000000,0.00,0,0
12,1773086,-2.063,-3.535,-8.272,-24.074,-24.791,-5.895,-154.211,11.466,-0.361,-0.210,-5.895,0.000000,0.000000,0.00,0,0
13,1783085,-2.371,-3.998,-8.423,-20.229,-28.636,-3.179,-154.443,11.727,-0.408,-0.242,-3.179,0.000000,0.000000,0.00,0,0
14,1793098,-2.282,-3.991,-9.057,-18.642,-30.101,-2.661,-154.874,11.765,-0.407,-0.233,-2.661,0.000000,0.000000,0.00,0,0
15,1803099,-2.349,-3.977,-9.213,-19.955,-27.690,-2.539,-155.329,11.858,-0.405,-0.240,-2.539,0.000000,0.000000,0.00,0,0
16,1813081,-2.428,-4.348,-9.242,-22.915,-22.350,-4.095,-155.471,12.024,-0.443,-0.248,-4.095,0.000000,0.000000,0.00,0,0
17,1823093,-2.621,-4.348,-9.247,-29.171,-17.803,-7.055,-155.642,12.368,-0.443,-0.267,-7.055,0.000000,0.000000,0.00,0,0
18,1833086,-2.573,-4.085,-8.985,-33.962,-14.446,-8.703,-155.931,12.738,-0.417,-0.262,-8.703,0.000000,0.000000,0.00,0,0
19,1843084,-2.523,-3.788,-8.956,-35.427,-12.737,-8.184,-156.413,13.072,-0.386,-0.257,-8.184,0.000000,0.000000,0.00,0,0
20,1853087,-2.480,-3.477,-8.901,-34.359,-11.730,-6.536,-157.054,13.376,-0.355,-0.253,-6.536,0.000000,0.000000,0.00,0,0
21,1863084,-2.404,-3.335,-8.880,-31.795,-11.394,-4.705,-157.699,13.598,-0.340,-0.245,-4.705,0.000000,0.000000,0.00,0,0
22,1873086,-2.306,-3.405,-8.774,-29.812,-11.150,-3.362,-158.154,13.728,-0.347,-0.235,-3.362,0.000000,0.000000,0.00,0,0
23,1883084,-2.423,-3.436,-8.687,-28.866,-11.486,-2.355,-158.486,13.947,-0.350,-0.247,-2.355,0.000000,0.000000,0.00,0,0
24,1893087,-2.662,-3.557,-8.985,-29.079,-11.852,-1.379,-158.771,14.256,-0.363,-0.271,-1.379,0.000000,0.000000,0.00,0,0
25,1903084,-2.492,-3.608,-8.779,-29.079,-10.997,-1.745,-158.912,14.439,-0.368,-0.254,-1.745,0.000000,0.000000,0.00,0,0
26,1913087,-2.736,-3.726,-9.312,-28.286,-11.547,-2.844,-159.094,14.669,-0.380,-0.279,-2.844,0.000000,0.000000,0.00,0,0
27,1923084,-2.561,-3.639,-9.103,-25.997,-10.845,-4.461,-159.230,14.792,-0.371,-0.261,-4.461,0.000000,0.000000,0.00,0,0
28,1933086,-2.619,-3.649,-9.129,-24.441,-10.417,-5.560,-159.331,14.939,-0.372,-0.267,-5.560,0.000000,0.000000,0.00,0,0
29,1943084,-2.681,-3.622,-9.002,-24.654,-9.685,-5.987,-159.400,15.142,-0.369,-0.273,-5.987,0.000000,0.000000,0.00,0,0
30,1953087,-2.645,-3.490,-8.851,-24.013,-9.105,-6.689,-159.501,15.337,-0.356,-0.270,-6.689,0.000000,0.000000,0.00,0,0
31,1963084,-2.824,-3.352,-9.038,-21.877,-9.075,-7.177,-159.717,15.609,-0.342,-0.288,-7.177,0.000000,0.000000,0.00,0,0
32,1973087,-2.964,-3.125,-9.153,-18.856,-8.800,-7.177,-160.069,15.941,-0.319,-0.302,-7.177,0.000000,0.000000,0.00,0,0
33,1983087,-3.005,-2.947,-9.218,-15.407,-7.823,-6.445,-160.490,16.271,-0.301,-0.306,-6.445,0.000000,0.000000,0.00,0,0
34,1995346,-3.038,-2.959,-9.353,-11.684,-6.420,-4.980,-160.884,16.611,-0.302,-0.310,-4.980,0.000000,0.000000,0.00,0,0
35,2003089,-2.950,-2.848,-9.081,-7.534,-5.565,-3.729,-161.188,16.880,-0.290,-0.301,-3.729,0.000000,0.000000,0.00,0,0
36,2013085,-2.802,-2.773,-8.820,-2.834,-6.420,-2.722,-161.411,17.064,-0.283,-0.286,-2.722,0.000000,0.000000,0.00,0,0
37,2023086,-2.781,-2.990,-8.865,1.927,-8.251,-1.562,-161.424,17.173,-0.305,-0.284,-1.562,0.000000,0.000000,0.00,0,0
38,2033086,-2.895,-3.456,-9.043,4.917,-9.227,-1.226,-161.140,17.271,-0.352,-0.295,-1.226,0.000000,0.000000,0.00,0,0
39,2043085,-3.053,-3.714,-9.096,5.894,-8.922,-2.386,-160.723,17.430,-0.379,-0.311,-2.386,0.000000,0.000000,0.00,0,0
40,2053085,-3.160,-3.555,-8.932,6.809,-7.701,-4.156,-160.400,17.690,-0.362,-0.322,-4.156,0.000000,0.000000,0.00,0,0
41,2063085,-3.394,-3.094,-8.841,8.732,-5.687,-5.682,-160.370,18.136,-0.316,-0.346,-5.682,0.000000,0.000000,0.00,0,0
42,2073084,-3.313,-2.607,-8.270,14.988,-3.673,-6.414,-160.491,18.665,-0.266,-0.338,-6.414,0.000000,0.000000,0.00,0,0
43,2083085,-2.955,-2.699,-8.246,22.556,-3.246,-5.834,-160.465,18.907,-0.275,-0.301,-5.834,0.000000,0.000000,0.00,0,0
44,2093085,-2.840,-3.376,-8.743,26.096,-4.741,-5.163,-160.081,18.893,-0.344,-0.290,-5.163,0.000000,0.000000,0.00,0,0
45,2103086,-3.055,-3.762,-8.944,25.730,-5.626,-6.018,-159.553,18.936,-0.384,-0.312,-6.018,0.000000,0.000000,0.00,0,0
46,2113085,-3.251,-3.892,-8.983,24.937,-4.802,-8.093,-159.018,19.076,-0.397,-0.331,-8.093,0.000000,0.000000,0.00,0,0
47,2123091,-3.067,-4.172,-9.204,21.153,-3.398,-9.802,-158.467,19.052,-0.425,-0.313,-9.802,0.000000,0.000000,0.00,0,0
