seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1577107,-2.340,-0.490,-9.281,-0.973,-0.774,-8.978,-176.966,14.133,-0.050,-0.239,-8.978,0.000000,0.000000,0.00,0,0
1,1587093,-2.366,-0.290,-9.413,1.438,-2.361,-8.917,-177.594,14.106,-0.030,-0.241,-8.917,0.000000,0.000000,0.00,0,0
2,1597113,-2.406,-0.148,-9.641,5.558,-2.056,-8.245,-178.075,14.061,-0.015,-0.245,-8.245,0.000000,0.000000,0.00,0,0
3,1607105,-2.445,-0.271,-9.720,9.861,0.142,-6.964,-178.092,14.075,-0.028,-0.249,-6.964,0.000000,0.000000,0.00,0,0
4,1617093,-2.457,-0.635,-9.653,13.584,3.132,-5.224,-177.589,14.137,-0.065,-0.250,-5.224,0.000000,0.000000,0.00,0,0
5,1627089,-2.445,-1.197,-9.530,15.324,6.306,-3.790,-176.560,14.216,-0.122,-0.249,-3.790,0.000000,0.000000,0.00,0,0
6,1637088,-2.485,-1.715,-9.406,14.622,9.144,-3.820,-175.216,14.354,-0.175,-0.253,-3.820,0.000000,0.000000,0.00,0,0
7,1647096,-2.480,-1.976,-9.321,11.753,11.586,-5.071,-173.878,14.492,-0.201,-0.253,-5.071,0.000000,0.000000,0.00,0,0
8,1657088,-2.433,-2.132,-9.290,7.877,12.745,-6.628,-172.627,14.575,-0.217,-0.248,-6.628,0.000000,0.000000,0.00,0,0
9,1667096,-2.473,-2.188,-9.343,3.300,13.081,-8.459,-171.545,14.668,-0.223,-0.252,-8.459,0.000000,0.000000,0.00,0,0
10,1677088,-2.445,-2.021,-9.557,-1.186,13.112,-10.473,-170.823,14.683,-0.206,-0.249,-10.473,0.000000,0.000000,0.00,0,0
11,1687097,-2.406,-1.696,-9.756,-4.696,13.020,-11.663,-170.535,14.630,-0.173,-0.245,-11.663,0.000000,0.000000,0.00,0,0
12,1697095,-2.266,-1.223,-9.847,-6.283,12.806,-11.633,-170.725,14.453,-0.125,-0.231,-11.633,0.000000,0.000000,0.00,0,0
13,1707096,-2.211,-0.980,-10.056,-6.008,12.410,-10.382,-171.137,14.205,-0.100,-0.225,-10.382,0.000000,0.000000,0.00,0,0
14,1717095,-2.185,-0.850,-10.035,-4.635,11.983,-8.856,-171.616,13.957,-0.087,-0.223,-8.856,0.000000,0.000000,0.00,0,0
15,1727089,-2.135,-0.775,-10.032,-2.376,10.945,-7.543,-172.101,13.682,-0.079,-0.218,-7.543,0.000000,0.000000,0.00,0,0
16,1737102,-2.087,-0.736,-9.886,-0.057,9.724,-5.956,-172.548,13.410,-0.075,-0.213,-5.956,0.000000,0.000000,0.00,0,0
17,1747101,-2.034,-0.813,-9.797,1.682,8.168,-4.034,-172.866,13.123,-0.083,-0.207,-4.034,0.000000,0.000000,0.00,0,0
18,1757104,-1.992,-0.898,-9.730,2.506,6.154,-2.355,-173.069,12.825,-0.092,-0.203,-2.355,0.000000,0.000000,0.00,0,0
19,1767099,-1.999,-0.893,-9.665,3.025,3.621,-1.043,-173.248,12.557,-0.091,-0.204,-1.043,0.000000,0.000000,0.00,0,0
20,1777095,-1.972,-0.852,-9.494,3.178,0.416,-0.189,-173.432,12.304,-0.087,-0.201,-0.189,0.000000,0.000000,0.00,0,0
21,1787119,-1.951,-0.840,-9.391,4.032,-3.887,0.391,-173.594,12.046,-0.086,-0.199,0.391,0.000000,0.000000,0.00,0,0
22,1797098,-2.037,-0.845,-9.550,4.032,-8.647,0.727,-173.747,11.827,-0.086,-0.208,0.727,0.000000,0.000000,0.00,0,0
23,1807096,-2.204,-0.751,-9.605,4.307,-12.828,0.483,-173.967,11.732,-0.077,-0.225,0.483,0.000000,0.000000,0.00,0,0
24,1817100,-2.395,-0.652,-9.684,5.833,-16.185,-0.433,-174.237,11.763,-0.066,-0.244,-0.433,4.638007,-74.084328,0.45,0,1
25,1827125,-2.573,-0.474,-9.879,7.755,-17.955,-1.257,-174.616,11.886,-0.048,-0.262,-1.257,4.638007,-74.084328,0.45,0,1
26,1837096,-2.774,-0.401,-9.919,9.861,-17.589,-1.562,-174.995,12.147,-0.041,-0.283,-1.562,4.638007,-74.084328,0.45,0,1
27,1847097,-2.895,-0.464,-9.775,11.265,-15.361,-1.623,-175.268,12.525,-0.047,-0.295,-1.623,4.638007,-74.084328,0.45,0,1
28,1857106,-2.914,-0.705,-9.650,13.401,-12.798,-2.203,-175.298,12.927,-0.072,-0.297,-2.203,4.638007,-74.084328,0.45,0,1
29,1867112,-2.941,-1.161,-9.715,14.866,-10.234,-4.370,-174.966,13.307,-0.118,-0.300,-4.370,4.638007,-74.084328,0.45,0,1
30,1877107,-2.988,-1.211,-9.638,13.279,-6.542,-7.391,-174.640,13.731,-0.124,-0.305,-7.391,4.638007,-74.084328,0.45,0,1
31,1887101,-2.952,-1.226,-9.602,11.265,-2.056,-9.283,-174.353,14.132,-0.125,-0.301,-9.283,4.638007,-74.084328,0.45,0,1
32,1897099,-2.862,-1.433,-9.545,9.770,2.583,-10.351,-173.951,14.476,-0.146,-0.292,-10.351,4.638007,-74.084328,0.45,0,1
33,1907119,-2.800,-1.409,-9.379,3.910,11.677,-12.731,-173.642,14.854,-0.144,-0.286,-12.731,4.638007,-74.084328,0.45,0,1
34,1919757,-2.683,-1.539,-9.245,2.751,15.034,-13.952,-173.253,15.207,-0.157,-0.274,-13.952,4.638007,-74.084328,0.45,0,1
35,1927100,-2.540,-1.515,-9.158,0.706,17.262,-15.417,-172.932,15.410,-0.154,-0.259,-15.417,4.638007,-74.084328,0.45,4,1
36,1937111,-2.378,-1.448,-8.988,-1.491,18.452,-16.424,-172.695,15.517,-0.148,-0.242,-16.424,4.638007,-74.084328,0.45,4,1
37,1947096,-2.175,-1.452,-8.925,-3.536,18.056,-16.638,-172.490,15.471,-0.148,-0.222,-16.638,4.638007,-74.084328,0.45,4,1
38,1957103,-2.003,-1.491,-8.815,-5.489,16.621,-17.187,-172.280,15.308,-0.152,-0.204,-17.187,4.638007,-74.084328,0.45,4,1
39,1967094,-2.063,-1.204,-8.750,-7.839,13.478,-17.706,-172.319,15.191,-0.123,-0.210,-17.706,4.638007,-74.084328,0.45,4,1
40,1977095,-2.099,-1.216,-8.992,-8.907,9.266,-15.539,-172.378,15.032,-0.124,-0.214,-15.539,4.638007,-74.084328,0.45,4,1
41,1987113,-2.023,-1.416,-9.177,-11.013,6.001,-13.372,-172.326,14.774,-0.144,-0.206,-13.372,4.638007,-74.084328,0.45,4,1
42,1997111,-2.032,-1.416,-9.259,-13.485,3.071,-12.365,-172.309,14.509,-0.144,-0.207,-12.365,4.638007,-74.084328,0.45,4,1
43,2007104,-2.142,-1.385,-9.480,-14.889,-0.163,-11.572,-172.347,14.282,-0.141,-0.218,-11.572,4.638007,-74.084328,0.45,4,1
44,2017096,-2.197,-1.281,-9.583,-16.903,-2.849,-10.320,-172.475,14.074,-0.131,-0.224,-10.320,4.638007,-74.084328,0.45,4,1
45,2027103,-2.299,-1.235,-9.665,-18.276,-5.443,-8.642,-172.637,13.917,-0.126,-0.234,-8.642,4.638007,-74.084328,0.45,4,1
46,2037102,-2.402,-1.233,-9.725,-18.368,-7.488,-7.543,-172.789,13.811,-0.126,-0.245,-7.543,4.638007,-74.084328,0.45,4,1
47,2047103,-2.528,-1.206,-9.804,-17.696,-8.403,-7.604,-172.942,13.772,-0.123,-0.258,-7.604,4.638007,-74.084328,0.45,4,1
48,2057121,-2.626,-1.081,-9.871,-16.414,-8.068,-8.184,-173.149,13.790,-0.110,-0.268,-8.184,4.638007,-74.084328,0.45,4,1
49,2069182,-2.662,-1.057,-9.946,-14.309,-6.816,-8.673,-173.357,13.815,-0.108,-0.271,-8.673,4.638007,-74.084328,0.45,4,1
50,2077102,-2.709,-1.069,-10.080,-11.959,-4.802,-8.795,-173.504,13.879,-0.109,-0.276,-8.795,4.638007,-74.084328,0.45,4,1
51,2087106,-2.709,-1.055,-10.128,-10.006,-2.330,-8.550,-173.629,13.953,-0.108,-0.276,-8.550,4.638007,-74.084328,0.45,4,1
52,2097122,-2.664,-1.194,-10.066,-8.022,0.355,-8.154,-173.638,14.027,-0.122,-0.272,-8.154,4.638007,-74.084328,0.45,4,1
53,2107119,-2.561,-1.368,-10.004,-6.527,2.980,-8.215,-173.526,14.066,-0.139,-0.261,-8.215,4.638007,-74.084328,0.45,4,1
54,2117115,-2.530,-1.433,-9.871,-6.374,4.811,-8.489,-173.373,14.118,-0.146,-0.258,-8.489,4.638007,-74.084328,0.45,4,1
55,2127102,-2.428,-1.344,-9.857,-7.229,5.879,-8.825,-173.292,14.121,-0.137,-0.248,-8.825,4.638007,-74.084328,0.45,4,1
56,2137104,-2.361,-1.151,-9.951,-8.633,6.581,-8.306,-173.350,14.083,-0.117,-0.241,-8.306,4.638007,-74.084328,0.45,4,1
57,2147138,-2.356,-1.028,-10.008,-9.823,7.863,-6.903,-173.486,14.052,-0.105,-0.240,-6.903,4.638007,-74.084328,0.45,4,1
58,2157102,-2.399,-0.999,-10.028,-9.579,9.755,-5.682,-173.625,14.060,-0.102,-0.245,-5.682,4.638007,-74.084328,0.45,4,1
59,2167108,-2.361,-0.980,-9.951,-7.900,12.044,-5.651,-173.743,14.077,-0.100,-0.241,-5.651,4.638007,-74.084328,0.45,4,1
60,2177097,-2.275,-1.040,-9.838,-5.398,14.546,-6.841,-173.786,14.081,-0.106,-0.232,-6.841,4.638007,-74.084328,0.45,4,1
61,2187110,-2.178,-1.112,-9.811,-2.682,17.323,-9.161,-173.758,14.056,-0.113,-0.222,-9.161,4.638007,-74.084328,0.45,4,1
62,2197097,-2.037,-1.146,-9.747,0.736,19.948,-11.724,-173.678,13.986,-0.117,-0.208,-11.724,4.638007,-74.084328,0.45,4,1
63,2207100,-1.856,-1.325,-9.701,3.819,22.084,-13.372,-173.473,13.842,-0.135,-0.189,-13.372,4.638007,-74.084328,0.45,4,1
64,2217106,-1.722,-1.472,-9.574,4.887,23.884,-14.379,-173.184,13.662,-0.150,-0.176,-14.379,4.638007,-74.084328,0.45,4,1
65,2227115,-1.508,-1.517,-9.506,4.673,25.288,-14.562,-172.889,13.392,-0.155,-0.154,-14.562,4.638007,-74.084328,0.45,4,1
66,2237111,-1.293,-1.549,-9.427,3.666,26.661,-13.769,-172.605,13.041,-0.158,-0.132,-13.769,4.638007,-74.084328,0.45,4,1
67,2247100,-1.205,-1.551,-9.379,2.049,27.608,-12.152,-172.355,12.679,-0.158,-0.123,-12.152,4.638007,-74.084328,0.45,4,1
68,2258406,-1.028,-1.590,-9.225,-0.118,27.821,-9.985,-172.101,12.272,-0.162,-0.105,-9.985,4.638007,-74.084328,0.45,4,1
69,2267115,-0.914,-1.607,-9.156,-3.200,27.180,-7.818,-171.887,11.807,-0.164,-0.093,-7.818,4.638007,-74.084328,0.45,4,1
70,2277115,-0.814,-1.517,-9.187,-6.435,25.929,-5.956,-171.775,11.309,-0.155,-0.083,-5.956,4.638007,-74.084328,0.45,4,1
71,2287109,-0.730,-1.443,-9.307,-9.701,23.488,-4.064,-171.756,10.776,-0.147,-0.074,-4.064,4.638007,-74.084328,0.45,4,1
72,2297110,-0.656,-1.267,-9.427,-12.050,20.314,-2.294,-171.869,10.213,-0.129,-0.067,-2.294,4.638007,-74.084328,0.45,4,1
73,2307106,-0.618,-1.098,-9.550,-13.210,16.560,-1.043,-172.085,9.636,-0.112,-0.063,-1.043,4.638007,-74.084328,0.45,4,1
74,2317116,-0.592,-0.806,-9.696,-12.630,12.745,-0.158,-172.447,9.055,-0.082,-0.060,-0.158,4.638007,-74.084328,0.45,4,1
75,2327133,-0.609,-0.490,-9.891,-11.379,9.297,1.215,-172.945,8.494,-0.050,-0.062,1.215,4.638007,-74.084328,0.45,4,1
76,2337110,-0.728,-0.235,-9.953,-9.090,6.001,3.504,-173.518,8.011,-0.024,-0.074,3.504,4.638007,-74.084328,0.45,4,1
77,2347107,-0.811,-0.191,-10.011,-5.581,2.278,6.281,-174.036,7.578,-0.020,-0.083,6.281,4.638007,-74.084328,0.45,4,1
78,2357123,-0.833,-0.218,-10.068,-2.254,-1.659,8.265,-174.467,7.155,-0.022,-0.085,8.265,4.638007,-74.084328,0.45,4,1
79,2367108,-0.954,-0.184,-10.044,1.774,-5.748,9.089,-174.843,6.795,-0.019,-0.097,9.089,4.638007,-74.084328,0.45,4,1
80,2377109,-1.202,-0.286,-10.145,6.046,-9.380,9.363,-175.099,6.556,-0.029,-0.123,9.363,4.638007,-74.084328,0.45,4,1
81,2387104,-1.348,-0.416,-9.992,10.319,-12.371,9.272,-175.225,6.396,-0.042,-0.137,9.272,4.638007,-74.084328,0.45,4,1
82,2397109,-1.567,-0.664,-10.136,13.157,-14.842,8.875,-175.192,6.330,-0.068,-0.160,8.875,4.638007,-74.084328,0.45,4,1
83,2407109,-1.791,-0.775,-10.321,15.141,-15.392,8.112,-175.094,6.362,-0.079,-0.183,8.112,4.638007,-74.084328,0.45,4,1
84,2417095,-1.975,-0.811,-10.265,16.148,-13.988,7.807,-174.977,6.502,-0.083,-0.201,7.807,4.638007,-74.084328,0.45,4,1
85,2427096,-2.042,-0.874,-10.100,16.972,-11.669,7.776,-174.825,6.702,-0.089,-0.208,7.776,4.638007,-74.084328,0.45,4,1
86,2437104,-1.992,-1.018,-10.013,17.307,-8.495,7.990,-174.606,6.900,-0.104,-0.203,7.990,4.638007,-74.084328,0.45,4,1
87,2447101,-1.927,-1.079,-9.843,17.094,-5.168,8.387,-174.368,7.098,-0.110,-0.197,8.387,4.638007,-74.084328,0.45,4,1
88,2457103,-1.913,-1.141,-9.694,16.575,-2.544,8.845,-174.114,7.313,-0.116,-0.195,8.845,4.638007,-74.084328,0.45,4,1
89,2467101,-1.932,-1.313,-9.566,16.209,-0.499,8.814,-173.787,7.551,-0.134,-0.197,8.814,4.638007,-74.084328,0.45,4,1
90,2477106,-2.003,-1.361,-9.602,16.575,0.813,7.227,-173.461,7.815,-0.139,-0.204,7.227,4.638007,-74.084328,0.45,4,1
