seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1589111,-0.086,-4.121,-8.942,0.096,-3.612,5.182,-155.257,0.502,-0.420,-0.009,5.182,0.000000,0.000000,0.00,0,0
1,1599105,-0.103,-4.201,-8.932,0.675,-2.727,5.030,-155.031,0.537,-0.428,-0.011,5.030,0.000000,0.000000,0.00,0,0
2,1609100,-0.082,-4.193,-8.851,1.072,-1.964,4.664,-154.894,0.504,-0.428,-0.008,4.664,0.000000,0.000000,0.00,0,0
3,1619107,-0.036,-4.302,-8.752,1.560,-1.598,4.267,-154.603,0.416,-0.439,-0.004,4.267,0.000000,0.000000,0.00,0,0
4,1629113,-0.070,-4.558,-8.673,1.896,-2.025,3.596,-154.080,0.398,-0.465,-0.007,3.596,0.000000,0.000000,0.00,0,0
5,1639107,-0.034,-4.705,-8.596,1.530,-3.002,2.649,-153.527,0.335,-0.480,-0.003,2.649,0.000000,0.000000,0.00,0,0
6,1649104,-0.017,-4.705,-8.551,0.614,-3.978,1.948,-153.086,0.260,-0.480,-0.002,1.948,0.000000,0.000000,0.00,0,0
7,1659101,-0.086,-4.738,-8.584,-0.301,-4.711,1.490,-152.723,0.258,-0.483,-0.009,1.490,0.000000,0.000000,0.00,0,0
8,1669099,-0.167,-4.714,-8.649,-1.797,-4.772,1.368,-152.477,0.330,-0.481,-0.017,1.368,0.000000,0.000000,0.00,0,0
9,1679098,-0.187,-4.524,-8.702,-3.170,-4.222,2.192,-152.450,0.417,-0.461,-0.019,2.192,0.000000,0.000000,0.00,0,0
10,1689096,-0.139,-4.259,-8.752,-3.719,-3.215,3.779,-152.665,0.462,-0.434,-0.014,3.779,0.000000,0.000000,0.00,0,0
11,1699097,-0.136,-4.254,-8.767,-3.414,-1.842,6.037,-152.867,0.512,-0.434,-0.014,6.037,0.000000,0.000000,0.00,0,0
12,1709096,-0.082,-4.345,-8.745,-3.078,-0.591,7.868,-152.965,0.519,-0.443,-0.008,7.868,0.000000,0.000000,0.00,0,0
13,1719097,-0.051,-4.449,-8.716,-2.865,0.355,8.845,-152.957,0.504,-0.454,-0.005,8.845,0.000000,0.000000,0.00,0,0
14,1729097,-0.012,-4.529,-8.656,-3.200,0.569,8.661,-152.866,0.458,-0.462,-0.001,8.661,0.000000,0.000000,0.00,0,0
15,1739097,0.038,-4.538,-8.709,-3.628,0.172,7.227,-152.802,0.367,-0.463,0.004,7.227,0.000000,0.000000,0.00,0,0
16,1749096,0.028,-4.512,-8.687,-4.177,-0.499,5.030,-152.761,0.287,-0.460,0.003,5.030,0.000000,0.000000,0.00,0,0
17,1759098,0.014,-4.432,-8.740,-4.574,-1.476,2.741,-152.812,0.220,-0.452,0.001,2.741,0.000000,0.000000,0.00,0,0
18,1769099,0.023,-4.244,-8.887,-5.123,-2.391,2.161,-153.067,0.144,-0.433,0.002,2.161,0.000000,0.000000,0.00,0,0
19,1779102,-0.020,-4.138,-8.923,-5.245,-3.002,3.596,-153.392,0.110,-0.422,-0.002,3.596,0.000000,0.000000,0.00,0,0
20,1789100,-0.113,-4.179,-8.925,-5.215,-3.398,5.793,-153.649,0.157,-0.426,-0.011,5.793,0.000000,0.000000,0.00,0,0
21,1799101,-0.232,-4.189,-8.947,-5.062,-3.673,7.288,-153.875,0.299,-0.427,-0.024,7.288,0.000000,0.000000,0.00,0,0
22,1809099,-0.320,-4.242,-8.992,-4.818,-3.429,7.563,-154.049,0.501,-0.433,-0.033,7.563,0.000000,0.000000,0.00,0,0
23,1819098,-0.368,-4.256,-8.992,-4.421,-2.880,6.739,-154.188,0.724,-0.434,-0.038,6.739,0.000000,0.000000,0.00,0,0
24,1829096,-0.361,-4.145,-9.012,-3.841,-1.934,5.091,-154.393,0.927,-0.423,-0.037,5.091,0.000000,0.000000,0.00,0,0
25,1839097,-0.303,-4.099,-8.964,-2.865,-0.804,3.534,-154.583,1.072,-0.418,-0.031,3.534,0.000000,0.000000,0.00,0,0
26,1849096,-0.251,-4.133,-8.976,-2.254,-0.133,2.497,-154.725,1.163,-0.421,-0.026,2.497,0.000000,0.000000,0.00,0,0
27,1859097,-0.222,-4.136,-8.985,-2.407,0.233,2.314,-154.852,1.225,-0.422,-0.023,2.314,0.000000,0.000000,0.00,0,0
28,1869096,-0.160,-4.126,-9.040,-2.102,0.050,3.168,-154.986,1.228,-0.421,-0.016,3.168,0.000000,0.000000,0.00,0,0
29,1879098,-0.144,-4.210,-8.997,-1.949,-0.194,4.664,-155.031,1.214,-0.429,-0.015,4.664,0.000000,0.000000,0.00,0,0
30,1889096,-0.146,-4.254,-8.942,-2.102,-0.530,5.823,-155.024,1.201,-0.434,-0.015,5.823,0.000000,0.000000,0.00,0,0
31,1899097,-0.156,-4.307,-8.911,-2.071,-0.896,6.037,-154.970,1.192,-0.439,-0.016,6.037,0.000000,0.000000,0.00,0,0
32,1909096,-0.246,-4.357,-8.875,-1.949,-1.567,5.030,-154.875,1.244,-0.444,-0.025,5.030,0.000000,0.000000,0.00,0,0
33,1919097,-0.325,-4.302,-8.899,-1.949,-2.513,3.016,-154.833,1.338,-0.439,-0.033,3.016,0.000000,0.000000,0.00,0,0
34,1929107,-0.311,-4.145,-8.968,-1.980,-2.971,1.246,-154.916,1.409,-0.423,-0.032,1.246,0.000000,0.000000,0.00,0,0
35,1939115,-0.306,-4.109,-8.976,-1.583,-2.971,0.239,-155.013,1.469,-0.419,-0.031,0.239,0.000000,0.000000,0.00,0,0
36,1951710,-0.313,-4.201,-8.990,-1.400,-2.483,-0.189,-155.052,1.536,-0.428,-0.032,-0.189,0.000000,0.000000,0.00,0,0
37,1959105,-0.308,-4.242,-8.911,-1.552,-2.361,-0.097,-155.029,1.590,-0.433,-0.031,-0.097,0.000000,0.000000,0.00,0,0
38,1969111,-0.332,-4.292,-8.868,-1.949,-2.666,0.055,-154.966,1.652,-0.438,-0.034,0.055,0.000000,0.000000,0.00,0,0
39,1979105,-0.337,-4.251,-8.870,-2.865,-3.398,0.239,-154.943,1.704,-0.434,-0.034,0.239,0.000000,0.000000,0.00,0,0
40,1989112,-0.375,-4.124,-8.949,-3.506,-4.070,0.544,-155.029,1.770,-0.420,-0.038,0.544,0.000000,0.000000,0.00,0,0
41,1999111,-0.408,-4.092,-8.988,-3.475,-3.917,1.124,-155.134,1.852,-0.417,-0.042,1.124,0.000000,0.000000,0.00,0,0
42,2009105,-0.458,-4.051,-9.019,-2.804,-3.246,1.398,-155.256,1.965,-0.413,-0.047,1.398,0.000000,0.000000,0.00,0,0
43,2019102,-0.556,-4.005,-9.074,-2.010,-2.300,1.185,-155.400,2.137,-0.408,-0.057,1.185,0.000000,0.000000,0.00,0,0
44,2029109,-0.582,-3.986,-9.057,-1.430,-1.262,0.727,-155.531,2.319,-0.406,-0.059,0.727,0.000000,0.000000,0.00,0,0
45,2039108,-0.513,-3.820,-9.158,-0.789,-0.225,0.696,-155.766,2.446,-0.390,-0.052,0.696,0.000000,0.000000,0.00,0,0
46,2049107,-0.392,-3.801,-9.163,0.431,1.484,1.215,-155.980,2.500,-0.388,-0.040,1.215,0.000000,0.000000,0.00,0,0
47,2059101,-0.363,-4.003,-9.091,1.591,3.041,2.039,-156.029,2.543,-0.408,-0.037,2.039,0.000000,0.000000,0.00,0,0
48,2069110,-0.294,-4.165,-8.995,2.049,3.834,2.649,-155.953,2.545,-0.425,-0.030,2.649,0.000000,0.000000,0.00,0,0
49,2081060,-0.246,-4.321,-8.875,2.293,3.377,2.680,-155.761,2.527,-0.441,-0.025,2.680,0.000000,0.000000,0.00,0,0
50,2089110,-0.270,-4.430,-8.846,1.957,2.522,1.978,-155.520,2.500,-0.452,-0.028,1.978,0.000000,0.000000,0.00,0,0
51,2099117,-0.296,-4.459,-8.851,1.255,1.637,0.849,-155.293,2.483,-0.455,-0.030,0.849,0.000000,0.000000,0.00,0,0
52,2109103,-0.337,-4.345,-8.906,0.553,1.240,-0.280,-155.171,2.487,-0.443,-0.034,-0.280,0.000000,0.000000,0.00,0,0
53,2119107,-0.361,-4.102,-9.002,0.065,1.546,-0.646,-155.221,2.507,-0.418,-0.037,-0.646,0.000000,0.000000,0.00,0,0
54,2129108,-0.368,-3.849,-8.997,0.248,2.583,0.269,-155.403,2.541,-0.392,-0.038,0.269,0.000000,0.000000,0.00,0,0
55,2139114,-0.275,-3.591,-9.000,1.499,4.017,2.497,-155.702,2.530,-0.366,-0.028,2.497,0.000000,0.000000,0.00,0,0
56,2149116,-0.177,-3.757,-8.952,4.093,5.513,5.152,-155.846,2.473,-0.383,-0.018,5.152,0.000000,0.000000,0.00,0,0
57,2159105,-0.094,-4.196,-8.786,5.863,6.642,6.495,-155.683,2.380,-0.428,-0.010,6.495,0.000000,0.000000,0.00,0,0
58,2169106,-0.032,-4.514,-8.649,6.138,6.367,5.366,-155.328,2.254,-0.460,-0.003,5.366,0.000000,0.000000,0.00,0,0
59,2179105,0.030,-4.668,-8.558,5.253,4.994,2.833,-154.908,2.090,-0.476,0.003,2.833,0.000000,0.000000,0.00,0,0
60,2189118,0.064,-4.644,-8.572,3.788,3.071,-0.158,-154.554,1.902,-0.474,0.007,-0.158,0.000000,0.000000,0.00,0,0
61,2199112,0.059,-4.490,-8.536,2.476,1.027,-2.386,-154.312,1.714,-0.458,0.006,-2.386,0.000000,0.000000,0.00,0,0
62,2209105,0.085,-4.389,-8.546,1.866,-0.804,-3.088,-154.152,1.509,-0.448,0.009,-3.088,0.000000,0.000000,0.00,0,0
63,2219116,-0.005,-4.447,-8.519,1.743,-2.422,-2.691,-153.971,1.360,-0.453,-0.001,-2.691,0.000000,0.000000,0.00,0,0
64,2229103,-0.129,-4.541,-8.527,1.560,-3.459,-2.325,-153.760,1.286,-0.463,-0.013,-2.325,0.000000,0.000000,0.00,0,0
65,2239116,-0.251,-4.504,-8.531,0.767,-3.887,-2.111,-153.594,1.285,-0.459,-0.026,-2.111,0.000000,0.000000,0.00,0,0
66,2249101,-0.415,-4.512,-8.522,0.279,-3.795,-1.806,-153.441,1.379,-0.460,-0.042,-1.806,0.000000,0.000000,0.00,0,0
67,2259100,-0.494,-4.601,-8.527,-0.027,-3.215,-1.623,-153.260,1.514,-0.469,-0.050,-1.623,0.000000,0.000000,0.00,0,0
68,2269099,-0.480,-4.608,-8.541,-0.393,-1.995,-1.562,-153.098,1.640,-0.470,-0.049,-1.562,0.000000,0.000000,0.00,0,0
69,2279101,-0.451,-4.606,-8.534,-1.003,-0.255,-1.196,-152.955,1.756,-0.470,-0.046,-1.196,0.000000,0.000000,0.00,0,0
70,2289101,-0.461,-4.702,-8.539,-1.919,1.210,-0.402,-152.786,1.878,-0.479,-0.047,-0.402,0.000000,0.000000,0.00,0,0
71,2300076,-0.425,-4.630,-8.483,-3.445,1.973,0.422,-152.665,1.984,-0.472,-0.043,0.422,0.000000,0.000000,0.00,0,0
