seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,lat,lon,gps_spd,sats,gps_fix
0,1592120,-3.584,1.248,-9.225,12.028,-8.159,-10.137,172.296,21.059,0.127,-0.366,-10.137,4.638072,-74.084482,0.00,0,1
1,1602111,-3.656,1.267,-9.384,13.157,-8.586,-9.954,172.369,21.042,0.129,-0.373,-9.954,4.638072,-74.084482,0.00,0,1
2,1612116,-3.625,1.339,-9.490,14.073,-8.647,-9.924,172.326,20.875,0.137,-0.370,-9.924,4.638072,-74.084482,0.00,0,1
3,1622115,-3.532,1.474,-9.490,13.340,-8.495,-9.405,172.122,20.634,0.150,-0.360,-9.405,4.638072,-74.084482,0.00,0,1
4,1632105,-3.439,1.583,-9.432,12.303,-8.464,-8.825,171.856,20.380,0.161,-0.351,-8.825,4.638072,-74.084482,0.00,0,1
5,1642115,-3.301,1.583,-9.331,13.493,-9.075,-8.764,171.671,20.082,0.161,-0.337,-8.764,4.638072,-74.084482,0.00,0,1
6,1652111,-3.298,1.641,-9.540,13.340,-10.600,-8.489,171.512,19.763,0.167,-0.336,-8.489,4.638072,-74.084482,0.00,0,1
7,1662114,-3.308,1.646,-9.711,14.042,-12.371,-8.489,171.415,19.446,0.168,-0.337,-8.489,4.638072,-74.084482,0.00,0,1
8,1672120,-3.494,1.641,-10.030,13.737,-13.164,-8.489,171.382,19.236,0.167,-0.356,-8.489,4.638072,-74.084482,0.00,0,1
9,1682120,-3.582,1.621,-10.265,14.286,-12.676,-8.642,171.404,19.068,0.165,-0.365,-8.642,4.638072,-74.084482,0.00,0,1
10,1692110,-3.608,1.634,-10.359,14.073,-11.669,-8.520,171.421,18.930,0.167,-0.368,-8.520,4.638072,-74.084482,0.00,7,1
11,1702118,-3.596,1.638,-10.349,12.882,-10.570,-7.971,171.417,18.816,0.167,-0.367,-7.971,4.638072,-74.084482,0.00,7,1
12,1712111,-3.601,1.626,-10.479,11.448,-9.197,-6.933,171.423,18.704,0.166,-0.367,-6.933,4.638072,-74.084482,0.00,7,1
13,1722121,-3.634,1.525,-10.568,10.838,-7.030,-6.323,171.515,18.634,0.156,-0.371,-6.323,4.638072,-74.084482,0.00,7,1
14,1732117,-3.649,1.395,-10.484,10.014,-4.497,-6.048,171.684,18.634,0.142,-0.372,-6.048,4.638072,-74.084482,0.00,7,1
15,1742112,-3.670,1.327,-10.400,8.305,-2.117,-5.987,171.867,18.697,0.135,-0.374,-5.987,4.638072,-74.084482,0.00,7,1
16,1752096,-3.766,1.330,-10.304,7.328,0.538,-6.750,172.009,18.875,0.136,-0.384,-6.750,4.638072,-74.084482,0.00,7,1
17,1762120,-3.761,1.426,-10.119,7.023,3.254,-7.452,172.031,19.100,0.145,-0.383,-7.452,4.638072,-74.084482,0.00,7,1
18,1772107,-3.687,1.544,-9.893,6.443,5.421,-7.696,171.917,19.320,0.157,-0.376,-7.696,4.638072,-74.084482,0.00,7,1
19,1782135,-3.553,1.670,-9.574,5.222,6.825,-6.750,171.652,19.506,0.170,-0.362,-6.750,4.638072,-74.084482,0.00,7,1
20,1792107,-3.451,1.691,-9.223,2.567,6.795,-4.766,171.319,19.686,0.172,-0.352,-4.766,4.638072,-74.084482,0.00,7,1
21,1802109,-3.453,1.648,-9.021,0.096,5.513,-2.477,171.008,19.895,0.168,-0.352,-2.477,4.638072,-74.084482,0.00,7,1
22,1812116,-3.530,1.670,-8.976,-1.430,4.048,-0.585,170.695,20.138,0.170,-0.360,-0.585,4.638072,-74.084482,0.00,7,1
23,1822109,-3.642,1.687,-9.103,-1.705,3.590,1.032,170.423,20.396,0.172,-0.371,1.032,4.638072,-74.084482,0.00,7,1
24,1832110,-3.689,1.670,-9.185,0.279,4.719,2.497,170.229,20.645,0.170,-0.376,2.497,4.638072,-74.084482,0.00,7,1
25,1842109,-3.730,1.578,-9.161,3.483,6.642,3.870,170.161,20.922,0.161,-0.380,3.870,4.638072,-74.084482,0.00,7,1
