t_rx,seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,rssi,snr,lost,total
1784928061.114,7256,74130217,-1.181,-0.572,-10.203,0.981,-0.469,4.938,181.905,4.097,-0.058,-0.120,4.938,-68,13.25,0,1
1784928063.813,49,2064218,-2.015,-2.954,-9.367,5.009,7.100,-5.926,-161.459,11.674,-0.301,-0.206,-5.926,-68,13.00,0,1
1784928064.334,99,2589094,-1.827,-3.470,-8.762,-3.597,2.736,-3.332,-159.122,8.556,-0.354,-0.186,-3.332,-68,13.50,49,2
1784928064.854,152,3088234,-1.283,-2.530,-9.228,-0.210,-5.535,-4.125,-162.085,7.127,-0.258,-0.131,-4.125,-67,13.75,101,3
1784928065.854,252,4088215,-0.923,-3.285,-9.278,-3.017,-1.232,-6.964,-160.306,5.151,-0.335,-0.094,-6.964,-69,13.25,200,4
1784928066.370,299,4625252,-1.057,-3.318,-9.317,3.758,-0.225,7.807,-160.262,4.109,-0.338,-0.108,7.807,-67,13.50,246,5
1784928066.870,356,5126068,-0.797,-3.174,-8.531,5.222,6.367,0.818,-160.301,6.068,-0.324,-0.081,0.818,-69,13.25,302,6
1784928067.391,406,5626008,-1.124,-3.263,-9.562,8.732,-0.377,12.507,-159.126,5.398,-0.333,-0.115,12.507,-68,14.00,351,7
1784928068.392,506,6626003,-0.830,-3.432,-9.276,-1.522,-1.689,-6.170,-159.018,3.973,-0.350,-0.085,-6.170,-69,10.50,450,8
1784928069.392,606,7625998,-1.031,-3.070,-9.338,-0.789,-1.537,-1.257,-160.958,4.956,-0.313,-0.105,-1.257,-68,13.75,549,9
1784928070.371,706,8625996,-1.012,-3.058,-9.521,0.065,-0.957,0.208,-160.777,4.792,-0.312,-0.103,0.208,-68,12.75,648,10
1784928070.892,756,9126048,-1.040,-3.285,-9.076,0.584,-0.469,-2.905,-161.117,5.419,-0.335,-0.106,-2.905,-69,13.00,697,11
1784928071.893,856,10126040,-0.520,-3.138,-8.524,-3.109,3.590,-12.396,-160.701,5.925,-0.320,-0.053,-12.396,-68,13.75,796,12
1784928072.892,956,11126028,-1.837,-1.939,-9.670,7.939,-0.255,-3.057,-168.075,9.014,-0.198,-0.187,-3.057,-71,11.25,895,13
1784928074.392,1106,12625990,-1.183,-2.241,-9.542,0.157,2.919,-0.555,-167.140,7.752,-0.228,-0.121,-0.555,-70,9.75,1044,14
1784928075.393,1202,13626340,-1.100,-1.611,-9.564,17.338,7.405,-0.860,-166.521,7.675,-0.164,-0.112,-0.860,-69,10.75,1139,15
1784928076.392,1306,14626220,-1.131,-2.195,-9.828,-0.515,-4.344,3.504,-167.349,5.268,-0.224,-0.115,3.504,-69,10.25,1242,16
1784928077.392,1406,15626216,-1.023,-1.423,-9.598,3.819,-1.354,4.145,-168.597,5.304,-0.145,-0.104,4.145,-69,10.00,1341,17
1784928078.393,1506,16626218,-1.012,-2.262,-9.355,-1.400,-1.293,-2.661,-166.902,6.246,-0.231,-0.103,-2.661,-69,10.00,1440,18
1784928079.392,1606,17626210,-1.069,-2.209,-9.581,0.675,-0.438,0.849,-166.750,5.767,-0.225,-0.109,0.849,-69,10.00,1539,19
1784928080.393,1706,18626219,-1.045,-2.079,-9.761,-0.484,0.325,-1.989,-167.643,6.078,-0.212,-0.107,-1.989,-71,12.00,1638,20
1784928081.392,1806,19626215,-0.954,-1.906,-9.641,-0.240,0.660,0.635,-167.651,5.942,-0.194,-0.097,0.635,-71,11.00,1737,21
1784928082.393,1906,20626216,-1.009,-1.951,-9.674,0.675,-0.987,1.185,-168.178,5.971,-0.199,-0.103,1.185,-71,13.75,1836,22
1784928083.393,2006,21626216,-0.921,-2.043,-9.607,0.340,-2.635,2.222,-168.248,5.273,-0.208,-0.094,2.222,-71,13.50,1935,23
1784928084.393,2106,22626217,-1.059,-2.248,-9.461,0.340,-1.048,2.314,-167.554,5.933,-0.229,-0.108,2.314,-71,14.00,2034,24
1784928086.393,2306,24626218,-0.926,-2.790,-9.526,1.530,0.813,-4.522,-164.155,5.748,-0.285,-0.094,-4.522,-68,13.75,2232,26
1784928087.393,2406,25626218,-1.059,-2.583,-9.482,-1.644,-0.713,2.039,-165.051,6.242,-0.263,-0.108,2.039,-68,13.75,2331,27
1784928088.393,2506,26626219,-1.233,-2.448,-9.377,-1.949,-1.964,-0.219,-165.229,7.352,-0.250,-0.126,-0.219,-68,13.25,2430,28
1784928089.393,2606,27626216,-1.319,-2.453,-9.545,-0.515,-0.072,-1.013,-165.899,7.256,-0.250,-0.135,-1.013,-69,13.50,2529,29
1784928090.393,2706,28626215,-1.274,-2.508,-9.542,-0.515,0.660,-0.555,-166.120,7.307,-0.256,-0.130,-0.555,-70,10.50,2628,30
1784928091.393,2806,29626216,-1.152,-2.209,-9.583,0.889,0.477,-0.891,-166.654,6.889,-0.225,-0.117,-0.891,-68,13.25,2727,31
1784928092.372,2906,30626215,-1.090,-2.340,-9.470,1.072,1.088,0.940,-166.569,6.875,-0.239,-0.111,0.940,-73,13.00,2826,32
1784928092.873,2956,31126229,-1.214,-2.330,-9.550,1.316,0.630,0.483,-166.295,6.961,-0.238,-0.124,0.483,-72,13.50,2875,33
1784928093.393,3006,31626217,-1.202,-2.284,-9.530,0.248,-0.438,0.269,-166.173,6.852,-0.233,-0.123,0.269,-72,13.75,2924,34
1784928094.393,3106,32626216,-1.076,-2.446,-9.389,0.248,0.935,-0.311,-166.317,7.005,-0.249,-0.110,-0.311,-71,11.25,3023,35
1784928095.393,3206,33626219,-1.214,-2.178,-9.571,-1.461,-0.804,-0.921,-166.313,6.816,-0.222,-0.124,-0.921,-69,10.75,3122,36
1784928096.393,3306,34626216,-1.040,-2.397,-9.470,-0.545,0.111,1.917,-166.327,6.646,-0.244,-0.106,1.917,-68,12.50,3221,37
1784928097.394,3406,35626217,-1.357,-1.968,-9.859,-3.841,-3.093,-1.501,-167.767,7.506,-0.201,-0.138,-1.501,-70,10.25,3320,38
1784928098.393,3506,36626216,-1.519,-1.884,-9.096,1.530,-4.436,-9.130,-168.643,8.427,-0.192,-0.155,-9.130,-69,13.50,3419,39
1784928099.393,3606,37626219,-1.519,-0.789,-10.145,0.492,7.863,2.649,-175.896,8.731,-0.080,-0.155,2.649,-69,10.75,3518,40
1784928100.414,3706,38626220,-0.981,-0.874,-10.174,4.460,-13.347,-4.095,-175.023,3.404,-0.089,-0.100,-4.095,-69,10.75,3617,41
1784928101.393,3806,39626216,-0.961,-0.515,-9.977,3.086,-3.704,3.657,-176.930,5.420,-0.052,-0.098,3.657,-71,10.00,3716,42
1784928102.393,3906,40626217,-0.988,-0.903,-9.771,-3.506,-1.140,0.879,-174.141,5.553,-0.092,-0.101,0.879,-69,10.50,3815,43
1784928103.393,4006,41626216,-1.560,-1.146,-9.586,-1.064,-3.704,8.112,-175.173,7.749,-0.117,-0.159,8.112,-69,11.00,3914,44
1784928104.373,4106,42626216,-1.054,-1.636,-9.221,3.758,0.081,3.657,-172.102,6.922,-0.167,-0.108,3.657,-70,10.00,4013,45
1784928104.894,4156,43126210,-1.047,-2.168,-9.562,18.253,15.370,-5.224,-169.607,6.647,-0.221,-0.107,-5.224,-69,11.00,4062,46
1784928105.894,4256,44126228,-1.589,-1.686,-9.098,-0.576,-13.500,2.283,-170.811,5.884,-0.172,-0.162,2.283,-68,13.25,4161,47
1784928106.893,4356,45126233,-1.372,-1.595,-9.677,-0.423,-1.445,0.605,-171.358,7.805,-0.163,-0.140,0.605,-68,13.25,4260,48
1784928107.894,4456,46126212,-1.195,-1.329,-9.703,-0.484,0.966,0.788,-172.035,7.239,-0.136,-0.122,0.788,-68,11.00,4359,49
