t_rx,seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,rssi,snr,lost,total
1784928674.607,1904,20622214,-2.612,1.472,-8.810,30.522,1.607,-6.567,-195.589,14.361,0.150,-0.266,-6.567,-60,13.75,0,1
1784928675.607,2004,21622211,-0.668,2.067,-9.850,-0.179,9.724,-3.027,-192.072,8.288,0.211,-0.068,-3.027,-60,14.00,99,2
1784928676.607,2104,22622218,-0.556,1.313,-9.881,-11.623,16.041,11.957,-188.401,9.229,0.134,-0.057,11.957,-59,10.25,198,3
1784928677.608,2204,23622213,-1.422,2.260,-9.290,0.553,-26.500,-10.168,-194.855,4.699,0.230,-0.145,-10.168,-63,13.75,297,4
1784928678.586,2304,24622214,-2.082,1.891,-9.432,0.614,0.538,0.818,-192.479,11.166,0.193,-0.212,0.818,-67,13.25,396,5
1784928679.108,2354,25122218,-2.304,2.849,-10.366,0.492,-9.899,-0.402,-193.817,10.694,0.290,-0.235,-0.402,-65,10.50,445,6
1784928680.107,2454,26122213,-1.605,2.644,-9.533,-2.041,10.579,2.405,-193.856,12.684,0.270,-0.164,2.405,-63,11.50,544,7
1784928682.108,2654,28122213,-1.970,2.697,-9.595,0.858,-12.828,-3.362,-194.291,7.120,0.275,-0.201,-3.362,-58,11.50,743,8
1784928683.087,2754,29122214,-1.972,2.111,-9.110,3.819,-4.192,3.840,-193.968,10.035,0.215,-0.201,3.840,-57,13.25,842,9
1784928683.587,2804,29622212,-1.617,2.309,-9.480,2.323,0.325,-2.081,-194.190,9.740,0.235,-0.165,-2.081,-57,13.50,891,10
1784928684.087,2854,30122213,-1.734,2.133,-9.175,5.100,-1.506,1.093,-193.462,10.304,0.217,-0.177,1.093,-59,13.75,940,11
1784928684.607,2904,30622214,-3.103,2.709,-9.783,-2.132,-8.922,6.647,-194.802,10.392,0.276,-0.316,6.647,-58,13.50,989,12
1784928685.608,3004,31622212,-2.387,1.626,-8.971,-4.879,-11.852,-4.217,-189.876,11.378,0.166,-0.243,-4.217,-56,13.50,1088,13
1784928686.608,3104,32622213,-1.815,1.838,-9.317,0.889,-1.354,-0.128,-191.790,11.221,0.187,-0.185,-0.128,-61,14.00,1187,14
1784928687.608,3204,33622213,-2.974,1.634,-9.410,-5.520,0.142,-4.309,-190.599,14.449,0.167,-0.303,-4.309,-61,14.00,1286,15
1784928688.587,3304,34622214,-3.000,1.906,-9.490,6.169,-9.502,5.549,-190.665,10.202,0.194,-0.306,5.549,-65,10.50,1385,16
1784928689.108,3354,35122214,-2.254,1.511,-9.425,-2.773,-2.178,-2.142,-189.031,13.347,0.154,-0.230,-2.142,-62,13.50,1434,17
1784928690.108,3454,36122213,-1.784,1.776,-9.646,1.866,-0.072,-2.081,-189.486,12.269,0.181,-0.182,-2.081,-60,11.25,1533,18
1784928691.108,3554,37122214,-2.535,1.308,-9.727,-1.613,1.759,-3.607,-186.701,14.709,0.133,-0.259,-3.607,-61,13.50,1632,19
1784928692.108,3654,38122214,-2.442,1.098,-9.612,-0.332,-0.225,2.039,-186.544,14.050,0.112,-0.249,2.039,-70,11.50,1731,20
1784928693.108,3754,39122211,-2.488,1.163,-9.605,-0.088,-0.408,0.086,-186.757,14.165,0.119,-0.254,0.086,-59,10.00,1830,21
1784928694.108,3854,40122211,-2.426,1.009,-9.605,0.981,-0.316,-0.891,-186.195,13.287,0.103,-0.247,-0.891,-76,13.25,1929,22
1784928695.087,3954,41122214,-1.746,1.096,-9.297,-0.088,1.393,5.488,-185.264,13.751,0.112,-0.178,5.488,-59,10.25,2028,23
1784928695.587,4004,41622214,-2.471,0.971,-9.662,-0.210,1.729,1.429,-185.411,14.041,0.099,-0.252,1.429,-62,13.75,2077,24
1784928696.108,4054,42122212,-2.414,0.939,-9.674,0.431,-0.682,-2.630,-185.263,13.830,0.096,-0.246,-2.630,-69,11.25,2126,25
1784928697.108,4154,43122214,-1.887,0.635,-9.406,2.415,-2.696,-0.097,-184.965,12.409,0.065,-0.192,-0.097,-61,13.50,2225,26
1784928698.087,4254,44122214,-1.677,0.990,-9.538,0.706,1.057,2.131,-185.728,10.376,0.101,-0.171,2.131,-62,13.75,2324,27
1784928698.588,4304,44622213,-1.591,1.125,-9.840,-0.606,-2.941,0.513,-186.437,9.590,0.115,-0.162,0.513,-65,10.25,2373,28
1784928699.108,4354,45122213,-2.065,1.065,-9.963,3.239,3.163,-0.372,-186.352,11.758,0.109,-0.211,-0.372,-61,13.75,2422,29
1784928700.108,4454,46122214,-2.476,0.421,-9.221,1.927,0.203,-4.980,-184.124,13.276,0.043,-0.252,-4.980,-67,13.50,2521,30
1784928701.108,4554,47122211,-2.457,0.544,-9.535,-0.545,-1.934,1.581,-183.682,12.838,0.055,-0.250,1.581,-62,13.50,2620,31
1784928702.108,4654,48122211,-2.356,0.660,-9.687,-3.261,-3.063,1.002,-183.480,12.826,0.067,-0.240,1.002,-67,13.25,2719,32
1784928703.109,4754,49122211,-2.065,1.060,-9.629,-2.895,-7.884,-0.891,-184.283,12.531,0.108,-0.211,-0.891,-60,11.00,2818,33
1784928704.109,4854,50122211,-2.201,0.582,-9.773,-1.491,-0.225,-0.555,-183.130,13.780,0.059,-0.224,-0.555,-61,13.25,2917,34
1784928705.109,4954,51122217,-1.076,2.301,-10.212,11.295,23.549,16.535,-186.586,14.191,0.235,-0.110,16.535,-60,11.25,3016,35
1784928706.088,5054,52122217,-2.340,0.905,-9.951,-0.881,4.414,2.772,-184.313,13.004,0.092,-0.239,2.772,-59,11.00,3115,36
1784928706.609,5104,52622213,-1.868,0.864,-9.768,-1.217,-4.070,-7.818,-184.471,11.359,0.088,-0.190,-7.818,-61,9.50,3164,37
1784928707.588,5204,53622213,-2.104,0.136,-9.775,0.248,-1.506,1.581,-182.344,11.830,0.014,-0.215,1.581,-58,13.25,3263,38
1784928708.088,5254,54122214,-2.223,0.582,-9.574,-1.217,1.454,2.436,-183.594,11.755,0.059,-0.227,2.436,-61,13.00,3312,39
1784928708.609,5304,54622218,-1.684,1.289,-10.100,1.560,3.468,-2.996,-185.908,11.040,0.131,-0.172,-2.996,-65,10.75,3361,40
1784928709.609,5404,55622211,-2.483,0.397,-9.355,-0.576,-1.293,2.527,-182.724,13.208,0.040,-0.253,2.527,-62,13.25,3460,41
1784928710.588,5504,56622213,-1.882,0.276,-9.360,2.720,1.668,1.490,-183.054,11.388,0.028,-0.192,1.490,-61,13.50,3559,42
1784928711.108,5554,57122214,-1.691,1.337,-10.378,4.368,-0.377,3.504,-184.502,10.434,0.136,-0.172,3.504,-68,13.75,3608,43
1784928712.109,5654,58122214,-1.825,0.365,-9.622,-0.240,1.942,-1.409,-182.580,12.190,0.037,-0.186,-1.409,-63,13.25,3707,44
1784928713.109,5754,59122217,-2.054,0.640,-9.855,-2.956,0.142,-1.531,-183.469,11.081,0.065,-0.209,-1.531,-61,13.50,3806,45
1784928714.109,5854,60122213,-1.944,0.445,-9.607,0.950,-1.232,-0.524,-183.403,10.318,0.045,-0.198,-0.524,-66,13.75,3905,46
1784928715.088,5954,61122214,-2.375,0.505,-9.730,-5.489,1.912,4.694,-181.763,11.801,0.052,-0.242,4.694,-61,13.50,4004,47
1784928715.609,6004,61622216,-1.984,1.077,-10.124,-0.789,7.435,3.107,-183.914,12.313,0.110,-0.202,3.107,-60,14.00,4053,48
1784928716.610,6104,62622214,-1.796,2.072,-10.200,-0.149,10.151,13.910,-187.925,11.816,0.211,-0.183,13.910,-61,14.00,4152,49
1784928717.588,6204,63622210,-2.628,0.151,-9.538,0.645,2.980,5.671,-182.192,14.310,0.015,-0.268,5.671,-62,13.50,4251,50
1784928718.109,6254,64122211,-2.457,0.455,-9.617,-2.712,1.027,-1.287,-182.108,13.365,0.046,-0.250,-1.287,-65,10.50,4300,51
1784928719.109,6354,65122210,-2.566,0.040,-9.415,3.513,-7.945,-5.926,-182.475,10.438,0.004,-0.262,-5.926,-62,13.50,4399,52
1784928720.089,6454,66122224,-1.517,0.821,-9.840,-8.510,6.123,3.290,-182.494,12.690,0.084,-0.155,3.290,-69,13.25,4498,53
1784928720.609,6504,66622213,-1.672,0.553,-9.687,2.659,-1.018,-2.844,-183.923,10.942,0.056,-0.171,-2.844,-64,10.75,4547,54
1784928721.609,6604,67622212,-1.360,1.154,-10.066,-0.484,-2.910,-3.668,-185.651,8.114,0.118,-0.139,-3.668,-63,12.25,4646,55
1784928722.589,6704,68622218,-1.667,0.705,-9.838,-0.118,-1.445,2.711,-183.708,8.749,0.072,-0.170,2.711,-67,13.50,4745,56
1784928723.109,6754,69122228,-1.694,0.421,-9.744,0.218,-5.596,-0.646,-182.814,8.373,0.043,-0.173,-0.646,-65,12.25,4794,57
1784928724.089,6854,70122227,-1.620,0.228,-9.670,-0.545,2.919,1.581,-182.608,10.684,0.023,-0.165,1.581,-64,13.00,4893,58
1784928724.623,6899,70635863,-1.317,1.151,-10.371,-2.895,4.811,-1.135,-183.892,9.610,0.117,-0.134,-1.135,-64,11.00,4937,59
1784928725.622,7005,71635211,-2.344,-0.160,-9.723,-4.268,1.210,0.025,-181.294,10.907,-0.016,-0.239,0.025,-64,13.25,5042,60
1784928726.623,7105,72635212,-1.655,0.594,-9.826,1.286,-1.232,-1.379,-183.382,9.136,0.061,-0.169,-1.379,-65,10.00,5141,61
1784928727.602,7205,73635212,-1.820,0.399,-9.742,1.377,0.447,1.307,-182.935,10.159,0.041,-0.186,1.307,-63,10.75,5240,62
1784928728.102,7255,74135212,-1.744,0.592,-9.792,0.096,0.325,0.117,-182.770,10.202,0.060,-0.178,0.117,-64,10.25,5289,63
1784928728.602,7305,74635217,-1.844,0.517,-9.847,-1.125,0.660,1.154,-182.684,10.291,0.053,-0.188,1.154,-61,13.50,5338,64
1784928729.123,7355,75135214,-1.820,0.377,-9.763,1.133,-0.469,-0.463,-182.984,10.064,0.038,-0.186,-0.463,-60,14.25,5387,65
1784928730.122,7455,76135213,-1.739,0.464,-9.845,1.621,-0.743,-0.006,-182.990,9.915,0.047,-0.177,-0.006,-57,13.25,5486,66
1784928731.122,7555,77135211,-1.725,0.650,-9.751,-0.362,0.081,-0.311,-182.825,10.248,0.066,-0.176,-0.311,-56,13.75,5585,67
1784928732.102,7655,78135213,-1.746,0.512,-9.831,0.187,0.477,1.551,-182.568,10.336,0.052,-0.178,1.551,-57,13.25,5684,68
1784928732.623,7705,78635217,-1.672,0.250,-9.742,1.682,0.722,-2.447,-182.298,10.348,0.025,-0.171,-2.447,-58,13.75,5733,69
1784928733.623,7805,79635212,-1.643,0.271,-9.809,-0.423,0.874,-0.494,-182.354,10.327,0.028,-0.168,-0.494,-58,13.75,5832,70
1784928734.602,7905,80635211,-2.030,0.471,-9.816,0.157,-0.225,0.940,-182.443,10.670,0.048,-0.207,0.940,-59,11.00,5931,71
1784928735.123,7955,81135217,-1.951,0.426,-9.718,-0.332,0.020,-0.646,-182.290,10.852,0.043,-0.199,-0.646,-58,10.25,5980,72
1784928736.102,8055,82135214,-1.887,0.344,-9.720,0.065,-0.835,0.544,-182.338,10.337,0.035,-0.192,0.544,-60,10.25,6079,73
1784928736.623,8105,82635212,-1.803,0.486,-9.792,1.072,0.660,-0.494,-182.643,10.749,0.050,-0.184,-0.494,-58,13.75,6128,74
1784928737.623,8205,83635212,-1.937,0.322,-9.682,-0.637,-1.659,0.300,-182.239,10.566,0.033,-0.197,0.300,-57,13.75,6227,75
1784928738.623,8305,84635211,-1.822,0.344,-9.787,-0.240,-0.011,-0.555,-182.592,10.552,0.035,-0.186,-0.555,-55,14.25,6326,76
1784928739.602,8405,85635211,-1.903,0.568,-9.857,0.065,0.722,2.680,-182.938,10.732,0.058,-0.194,2.680,-55,13.75,6425,77
1784928740.102,8455,86135220,-1.934,0.365,-9.751,0.675,0.325,0.666,-182.582,10.697,0.037,-0.197,0.666,-57,13.25,6474,78
1784928740.623,8505,86635212,-1.891,0.587,-9.831,-0.851,-1.262,1.063,-182.868,10.806,0.060,-0.193,1.063,-57,13.25,6523,79
1784928741.623,8605,87635217,-1.920,0.529,-9.756,-0.515,-0.774,-0.585,-182.669,10.920,0.054,-0.196,-0.585,-59,12.75,6622,80
1784928742.623,8705,88635217,-1.818,0.606,-9.893,-0.789,-1.232,-1.715,-182.530,10.660,0.062,-0.185,-1.715,-59,10.25,6721,81
1784928743.602,8805,89635217,-1.787,0.705,-9.898,0.645,-0.835,1.215,-182.733,10.954,0.072,-0.182,1.215,-59,10.00,6820,82
1784928744.123,8855,90135225,-2.321,0.433,-9.670,-2.743,-1.720,-0.707,-181.959,11.849,0.044,-0.237,-0.707,-59,11.00,6869,83
1784928745.123,8955,91135226,-1.906,0.534,-9.727,1.957,-2.666,-1.379,-182.967,11.378,0.054,-0.194,-1.379,-59,10.75,6968,84
1784928746.111,9056,92144216,-2.049,0.322,-9.708,0.157,2.186,0.940,-182.010,12.522,0.033,-0.209,0.940,-58,10.50,7068,85
1784928746.632,9106,92644218,-2.180,0.308,-9.718,-0.332,-1.750,-0.799,-181.755,12.197,0.031,-0.222,-0.799,-59,10.00,7117,86
1784928747.632,9206,93644217,-2.530,0.129,-9.576,-0.881,-2.330,2.344,-181.223,15.015,0.013,-0.258,2.344,-59,14.00,7216,87
1784928748.632,9306,94644217,-2.507,0.421,-9.730,-0.576,1.179,-0.677,-181.874,15.520,0.043,-0.256,-0.677,-62,13.50,7315,88
1784928749.632,9406,95644211,-2.781,0.380,-9.672,1.530,0.691,-0.860,-182.270,15.091,0.039,-0.284,-0.860,-60,13.75,7414,89
1784928750.632,9506,96644217,-2.411,0.257,-9.586,-1.400,-0.743,-1.318,-181.087,14.405,0.026,-0.246,-1.318,-60,9.75,7513,90
1784928751.612,9606,97644212,-2.313,0.411,-9.665,-0.667,1.271,0.147,-181.538,14.431,0.042,-0.236,0.147,-59,10.50,7612,91
1784928752.132,9656,98144226,-2.409,0.631,-9.886,2.720,-3.520,-2.539,-181.982,13.857,0.064,-0.246,-2.539,-59,10.25,7661,92
1784928753.112,9756,99144221,-2.452,0.151,-9.735,-4.574,0.599,0.269,-179.493,14.582,0.015,-0.250,0.269,-61,12.50,7760,93
1784928753.633,9806,99644212,-2.566,0.115,-9.703,-0.728,-0.469,-0.616,-180.218,13.981,0.012,-0.262,-0.616,-61,14.00,7809,94
1784928754.633,9906,100644217,-2.724,-0.753,-9.187,9.770,-5.016,1.764,-180.088,12.789,-0.077,-0.278,1.764,-59,11.25,7908,95
1784928755.654,10006,101644210,-2.285,-0.351,-9.540,2.781,-0.133,-1.348,-179.467,13.672,-0.036,-0.233,-1.348,-60,12.25,8007,96
1784928756.633,10106,102644215,-2.457,0.356,-9.679,-1.980,1.301,-1.531,-179.747,13.077,0.036,-0.250,-1.531,-60,12.00,8106,97
1784928757.632,10206,103644214,-1.818,0.040,-9.797,1.652,-6.664,2.283,-181.053,9.385,0.004,-0.185,2.283,-58,11.75,8205,98
1784928758.633,10306,104644218,-2.263,-0.078,-9.545,2.690,0.325,2.619,-179.874,12.404,-0.008,-0.231,2.619,-59,10.25,8304,99
1784928759.633,10406,105644218,-2.142,0.066,-9.809,-1.583,1.820,0.147,-179.440,12.944,0.007,-0.218,0.147,-59,13.25,8403,100
1784928760.633,10506,106644218,-1.782,0.030,-9.807,-0.271,0.813,-1.715,-180.122,12.068,0.003,-0.182,-1.715,-59,12.50,8502,101
1784928761.633,10606,107644214,-2.030,0.054,-9.711,-0.637,3.865,1.856,-179.614,13.430,0.006,-0.207,1.856,-60,12.25,8601,102
1784928762.633,10706,108644218,-2.404,-0.102,-9.699,1.469,-0.774,0.879,-179.300,12.973,-0.010,-0.245,0.879,-59,10.25,8700,103
1784928763.654,10806,109644210,-2.259,-0.189,-9.516,1.713,0.142,-0.524,-179.052,13.488,-0.019,-0.230,-0.524,-59,10.00,8799,104
1784928764.654,10906,110644214,-2.459,-0.122,-9.593,-2.468,-2.178,-0.128,-178.745,13.014,-0.012,-0.251,-0.128,-59,10.25,8898,105
1784928765.633,11006,111644211,-2.356,0.216,-9.763,-2.743,0.569,1.459,-179.576,13.535,0.022,-0.240,1.459,-58,10.75,8997,106
1784928766.633,11106,112644212,-2.263,0.021,-9.689,0.675,0.935,-0.219,-179.325,14.050,0.002,-0.231,-0.219,-61,13.50,9096,107
1784928767.654,11206,113644212,-2.020,-0.322,-9.254,2.659,2.888,10.126,-178.414,13.576,-0.033,-0.206,10.126,-61,13.50,9195,108
1784928768.654,11306,114644217,-2.497,-0.235,-9.634,-0.942,-0.926,-0.097,-178.498,14.100,-0.024,-0.255,-0.097,-59,10.75,9294,109
1784928769.654,11406,115644217,-2.445,-0.073,-9.780,0.004,0.722,-0.463,-179.107,14.428,-0.007,-0.249,-0.463,-59,10.50,9393,110
1784928770.634,11506,116644217,-2.647,0.209,-9.792,-1.217,-0.896,0.361,-179.263,14.348,0.021,-0.270,0.361,-63,13.25,9492,111
1784928771.655,11606,117644211,-2.409,-0.635,-9.394,0.401,-1.598,-0.280,-176.636,13.401,-0.065,-0.246,-0.280,-61,13.25,9591,112
1784928772.634,11706,118644217,-0.878,-1.443,-9.163,14.042,5.238,9.730,-178.508,10.091,-0.147,-0.090,9.730,-60,12.25,9690,113
1784928773.634,11806,119644218,-1.868,-0.700,-9.401,7.176,-3.185,6.830,-179.652,9.662,-0.071,-0.190,6.830,-63,13.75,9789,114
1784928774.654,11906,120644218,-2.123,-0.160,-9.720,0.889,1.118,-0.067,-179.426,12.464,-0.016,-0.216,-0.067,-61,13.75,9888,115
1784928775.654,12006,121644210,-2.044,-0.177,-9.687,1.011,1.668,-0.341,-179.677,12.465,-0.018,-0.208,-0.341,-61,13.50,9987,116
1784928776.634,12106,122644218,-1.670,0.038,-9.811,2.903,-1.628,-0.707,-180.134,11.209,0.004,-0.170,-0.707,-71,12.25,10086,117
1784928777.634,12206,123644210,-2.251,-0.551,-9.564,-2.285,5.055,1.551,-178.476,13.679,-0.056,-0.230,1.551,-72,13.75,10185,118
1784928778.634,12306,124644218,-2.049,0.373,-9.970,-1.247,5.116,-5.071,-180.880,12.967,0.038,-0.209,-5.071,-64,10.25,10284,119
1784928779.634,12406,125644217,0.283,0.197,-10.321,8.549,39.754,24.317,-181.184,15.435,0.020,0.029,24.317,-60,13.50,10383,120
1784928780.634,12506,126644215,-2.344,0.187,-9.490,3.758,-8.892,-8.764,-182.605,13.690,0.019,-0.239,-8.764,-61,14.00,10482,121
1784928781.634,12606,127644218,-2.530,0.228,-9.574,0.462,-0.041,-0.891,-181.842,14.837,0.023,-0.258,-0.891,-62,13.75,10581,122
1784928782.635,12706,128644919,-2.447,0.351,-9.662,0.248,-1.140,-0.311,-181.996,14.187,0.036,-0.250,-0.311,-63,13.25,10680,123
1784928783.655,12806,129644218,-2.471,0.122,-9.540,-0.179,-0.438,-0.036,-181.228,14.324,0.012,-0.252,-0.036,-60,14.00,10779,124
1784928784.634,12906,130644218,-2.316,0.071,-9.617,0.279,0.142,-1.623,-181.213,14.206,0.007,-0.236,-1.623,-61,13.75,10878,125
1784928785.655,13006,131644214,-2.588,0.221,-9.679,-1.369,-2.147,-0.463,-180.903,14.458,0.023,-0.264,-0.463,-61,11.50,10977,126
1784928786.634,13106,132644218,-2.592,0.197,-9.610,0.309,0.264,0.086,-181.248,14.694,0.020,-0.264,0.086,-60,10.50,11076,127
1784928787.634,13206,133644218,-2.299,0.165,-9.619,-1.186,0.111,-0.341,-180.752,14.056,0.017,-0.234,-0.341,-60,12.75,11175,128
1784928788.634,13306,134644212,-2.273,0.023,-9.602,0.553,-2.819,0.178,-180.723,13.554,0.002,-0.232,0.178,-59,12.75,11274,129
1784928789.634,13406,135644218,-2.552,0.392,-9.687,0.248,1.912,-2.844,-181.319,15.508,0.040,-0.260,-2.844,-64,10.75,11373,130
1784928790.635,13506,136644214,-2.771,0.095,-9.636,0.767,-2.544,-1.837,-180.625,14.724,0.010,-0.283,-1.837,-60,14.50,11472,131
1784928791.634,13606,137644218,-2.526,0.088,-9.624,-1.095,-0.225,0.147,-180.477,14.645,0.009,-0.258,0.147,-63,10.75,11571,132
1784928792.655,13706,138644212,-2.387,-0.093,-9.547,-0.118,-1.110,0.086,-180.068,14.101,-0.009,-0.243,0.086,-65,12.50,11670,133
1784928793.655,13806,139644212,-1.765,-0.165,-9.230,0.034,0.172,-0.158,-180.253,13.098,-0.017,-0.180,-0.158,-63,13.25,11769,134
1784928794.634,13906,140644218,-2.597,0.484,-9.915,-4.970,6.917,4.023,-180.085,14.160,0.049,-0.265,4.023,-63,13.50,11868,135
1784928795.656,14006,141644212,-1.846,-0.163,-9.804,3.758,-0.163,-2.874,-180.077,11.900,-0.017,-0.188,-2.874,-62,13.25,11967,136
