t_rx,seq,t_us,ax,ay,az,gx,gy,gz,roll,pitch,g_lat,g_lon,yaw_rate,rssi,snr,lost,total
1784928796.635,14106,142644212,-1.956,0.399,-9.840,-0.362,-7.427,-1.287,-180.513,9.815,0.041,-0.199,-1.287,-61,13.50,12066,137
1784928797.634,14206,143644218,-2.690,0.042,-9.778,0.492,0.081,0.117,-180.087,12.458,0.004,-0.274,0.117,-62,13.50,12165,138
1784928798.656,14306,144644214,-2.287,-0.331,-9.629,-3.719,-0.255,-1.348,-178.255,12.951,-0.034,-0.233,-1.348,-60,14.00,12264,139
1784928799.656,14406,145644218,-1.806,-0.201,-9.482,0.065,3.651,-0.250,-178.123,12.160,-0.021,-0.184,-0.250,-61,13.50,12363,140
1784928800.656,14506,146644217,-2.237,-0.028,-9.727,-0.210,-3.307,0.696,-178.677,12.226,-0.003,-0.228,0.696,-63,13.25,12462,141
1784928801.635,14606,147644217,-2.399,-0.257,-9.586,-2.376,2.064,0.239,-178.171,13.963,-0.026,-0.245,0.239,-62,13.50,12561,142
1784928802.656,14706,148644211,-2.285,-0.129,-9.713,0.828,1.423,-0.097,-178.799,13.441,-0.013,-0.233,-0.097,-63,13.50,12660,143
1784928803.656,14806,149644211,-1.927,-0.102,-9.677,0.462,3.254,-2.081,-179.043,13.476,-0.010,-0.197,-2.081,-61,13.75,12759,144
1784928804.635,14906,150644212,-2.154,0.691,-10.025,-1.339,0.813,2.131,-180.103,12.752,0.070,-0.220,2.131,-63,11.75,12858,145
1784928805.635,15006,151644213,-1.722,0.009,-9.785,1.591,2.186,0.300,-179.997,11.364,0.001,-0.176,0.300,-65,10.50,12957,146
1784928806.635,15106,152644218,-1.784,-0.249,-9.682,-1.095,4.139,0.574,-178.924,11.720,-0.025,-0.182,0.574,-63,11.25,13056,147
1784928807.656,15206,153644214,-1.958,-0.090,-9.751,0.034,1.027,-0.494,-179.637,11.299,-0.009,-0.200,-0.494,-64,13.25,13155,148
1784928808.635,15306,154644217,-2.209,-0.375,-9.650,0.645,-1.476,0.513,-178.837,11.717,-0.038,-0.225,0.513,-64,13.25,13254,149
1784928809.656,15406,155644212,-2.371,-0.543,-9.557,0.279,-4.375,-1.409,-177.781,11.988,-0.055,-0.242,-1.409,-62,13.50,13353,150
1784928810.656,15506,156644217,-2.158,-0.047,-9.723,-0.057,-1.262,-1.470,-179.531,12.326,-0.005,-0.220,-1.470,-65,11.75,13452,151
1784928811.656,15606,157644218,-1.794,-0.367,-9.586,1.530,0.599,-0.036,-178.456,11.680,-0.037,-0.183,-0.036,-66,13.50,13551,152
1784928812.656,15706,158644217,-2.027,-0.129,-9.684,-1.858,-0.743,2.619,-178.844,11.239,-0.013,-0.207,2.619,-64,11.50,13650,153
1784928813.656,15806,159644217,-2.080,-0.276,-9.809,3.819,0.203,-0.891,-178.907,12.095,-0.028,-0.212,-0.891,-66,11.25,13749,154
1784928814.656,15906,160644217,-2.075,-0.040,-9.749,-1.003,1.423,-0.891,-178.683,12.656,-0.004,-0.212,-0.891,-65,12.00,13848,155
1784928815.657,16006,161644217,-2.089,-0.199,-9.667,-4.055,-2.086,-4.278,-178.032,12.134,-0.020,-0.213,-4.278,-60,12.00,13947,156
1784928816.656,16106,162644217,-2.108,-0.112,-9.775,-0.393,-1.293,0.208,-178.347,12.760,-0.011,-0.215,0.208,-61,13.50,14046,157
1784928817.656,16206,163644211,-1.965,-0.329,-9.658,-0.851,0.264,-0.677,-178.277,12.251,-0.034,-0.200,-0.677,-61,13.75,14145,158
1784928818.656,16306,164644211,-2.328,-0.589,-9.528,-2.010,-1.750,0.666,-177.609,12.684,-0.060,-0.237,0.666,-62,13.50,14244,159
1784928819.656,16406,165644218,-2.406,-0.088,-9.634,3.056,-6.328,-2.539,-178.599,12.077,-0.009,-0.245,-2.539,-63,13.75,14343,160
1784928820.636,16506,166644211,-1.996,-0.090,-9.672,-1.308,3.621,6.342,-177.415,14.001,-0.009,-0.204,6.342,-62,13.50,14442,161
1784928821.657,16606,167644211,-2.411,-0.654,-9.542,0.065,-1.964,-1.867,-176.420,13.899,-0.067,-0.246,-1.867,-61,13.75,14541,162
1784928822.657,16706,168644217,-2.647,-0.408,-9.691,-1.034,0.569,-0.982,-176.722,15.080,-0.042,-0.270,-0.982,-65,10.00,14640,163
1784928824.636,16906,170644217,-2.635,-0.346,-9.564,1.896,2.949,0.879,-177.632,15.512,-0.035,-0.269,0.879,-69,11.50,14839,164
1784928825.636,17006,171644217,-2.526,-0.360,-9.687,-2.285,2.247,3.016,-177.434,15.226,-0.037,-0.258,3.016,-70,11.00,14938,165
1784928826.636,17106,172644217,-2.519,-0.490,-9.538,1.316,-1.964,0.055,-177.942,14.492,-0.050,-0.257,0.055,-67,13.50,15037,166
1784928827.657,17206,173644211,-2.166,-0.818,-9.446,1.988,1.027,-1.074,-177.428,14.737,-0.083,-0.221,-1.074,-75,12.75,15136,167
1784928828.636,17306,174644217,-2.449,-0.380,-9.614,0.523,-0.347,0.025,-178.138,14.267,-0.039,-0.250,0.025,-70,10.25,15235,168
1784928829.657,17406,175644217,-2.490,-0.122,-9.713,-0.545,-0.225,-0.830,-178.652,14.024,-0.012,-0.254,-0.830,-64,10.75,15334,169
1784928830.657,17506,176644211,-2.426,-0.305,-9.634,-0.240,-0.682,-0.494,-178.379,13.730,-0.031,-0.247,-0.494,-69,10.00,15433,170
1784928831.658,17604,177645008,-2.418,-0.300,-9.646,0.431,-0.408,-1.531,-178.441,13.881,-0.031,-0.247,-1.531,-70,10.00,15530,171
1784928832.636,17706,178644217,-2.395,-0.276,-9.622,-0.423,1.271,0.696,-178.514,14.092,-0.028,-0.244,0.696,-69,10.50,15631,172
1784928833.636,17806,179644217,-2.466,-0.324,-9.629,0.065,-1.750,0.513,-178.426,13.539,-0.033,-0.251,0.513,-70,10.75,15730,173
1784928834.657,17906,180644217,-2.378,-0.392,-9.653,-0.759,0.050,-0.341,-178.309,13.802,-0.040,-0.242,-0.341,-84,10.50,15829,174
1784928835.637,17999,181644837,-2.304,-0.110,-9.732,-0.057,1.179,0.391,-178.678,13.728,-0.011,-0.235,0.391,-64,10.25,15921,175
1784928836.636,18106,182644223,-2.261,-0.148,-9.699,0.492,-0.957,0.879,-178.863,13.136,-0.015,-0.231,0.879,-65,10.50,16027,176
1784928837.657,18206,183644217,-2.030,-0.129,-9.761,-0.851,1.332,-0.707,-178.945,13.296,-0.013,-0.207,-0.707,-67,13.75,16126,177
1784928838.636,18306,184644217,-2.087,-0.052,-9.754,-0.149,1.088,1.826,-179.317,12.789,-0.005,-0.213,1.826,-66,12.25,16225,178
1784928839.657,18406,185644211,-2.182,-0.088,-9.737,-0.454,-0.408,1.032,-179.193,12.758,-0.009,-0.223,1.032,-67,13.50,16324,179
1784928840.636,18506,186644217,-2.194,0.004,-9.715,0.187,0.691,-0.433,-179.157,12.823,0.000,-0.224,-0.433,-64,10.00,16423,180
