eje,media,varianza,desv_est,offset_bias,unidad
ax,0.2719307899221782,0.00012892971705362818,0.011354722235864168,0.2719307899221782,m/s²
ay,-0.22510426274614484,0.00010483382494977204,0.010238839043064015,-0.22510426274614484,m/s²
az,9.309375791051519,0.00015213228331929554,0.012334191636232004,-0.49727420894848073,m/s²
gx,-0.08037342149031848,0.003408192873855792,0.05837972999128886,-0.08037342149031848,°/s
gy,0.21060384797026752,0.0020894408221538065,0.045710401684450404,0.21060384797026752,°/s
gz,-0.07574466643395412,0.001965775850659265,0.044337070839865655,-0.07574466643395412,°/s
