eje,bias_ini,bias_fin,deriva_sin,deriva_con
gx,-0.06483116666666666,-0.07395589225589226,-4.401967297033577,-0.5120972970380385
gy,0.20127649999999997,0.1908661616161616,11.764767364083589,-0.31182263591571363
gz,-0.07533000000000001,-0.06946464646464647,-4.276694895496036,0.24310510449989842
