eje,media,varianza,desv_est,offset_bias,unidad
ax,0.5764754407383894,0.0001354572503978969,0.011638610329326131,0.5764754407383894,m/s²
ay,-0.02453275870488841,0.00011855269122195551,0.01088819044754249,-0.02453275870488841,m/s²
az,-10.299080221712165,0.00018556860079084933,0.013622356653341937,-20.105730221712165,m/s²
gx,-0.07914069443766177,0.003376543937259479,0.05810803676996392,-0.07914069443766177,°/s
gy,0.2084560726668946,0.0027281430815278315,0.05223162912955934,0.2084560726668946,°/s
gz,-0.07623865800654393,0.001973675164989354,0.04442606402765559,-0.07623865800654393,°/s
