eje,media,varianza,desv_est,offset_bias,unidad
ax,-0.48713624461440835,0.03423050455461146,0.1850148765764836,-0.48713624461440835,m/s²
ay,-0.3951472195317458,0.011669328143518847,0.10802466451472482,-0.3951472195317458,m/s²
az,9.281829219130959,0.00029718700531531804,0.01723911266032327,-0.5248207808690406,m/s²
gx,-0.05356073611435823,0.09470980326986442,0.3077495788297109,-0.05356073611435823,°/s
gy,0.20377759593867942,0.7019878351400729,0.837847143063741,0.20377759593867942,°/s
gz,-0.10232654219965931,0.4243131433141369,0.651393232474929,-0.10232654219965931,°/s
