# capturado=2026-07-17T12:13:05.518306 puerto=COM3
273070281,-0.7183,-0.0806,9.8053,0.065,-0.102,0.025,-0.393,3.936
273080281,-0.7278,-0.0661,9.8149,0.004,0.020,0.055,-0.400,3.956
273090281,-0.6992,-0.0565,9.8029,-0.118,0.020,0.055,-0.403,3.962
273100281,-0.6658,-0.0468,9.8365,0.004,-0.011,0.025,-0.401,3.952
273110282,-0.6849,-0.0420,9.8005,0.004,-0.011,-0.006,-0.396,3.952
273120282,-0.6825,-0.0565,9.8077,0.065,-0.041,0.025,-0.398,3.950
273130281,-0.7087,-0.0902,9.8389,0.065,-0.072,-0.067,-0.414,3.959
273140281,-0.6968,-0.1168,9.8077,0.004,-0.072,-0.097,-0.442,3.963
273150281,-0.6682,-0.0999,9.8149,0.034,-0.041,-0.036,-0.460,3.954
273160281,-0.6730,-0.0565,9.8173,0.004,0.050,0.055,-0.457,3.949
273170282,-0.6730,-0.0251,9.8437,0.126,0.020,0.025,-0.440,3.942
273180282,-0.6682,0.0110,9.8125,0.096,0.020,0.086,-0.408,3.936
273190282,-0.6444,0.0110,9.8317,0.065,0.050,-0.006,-0.379,3.919
273200282,-0.6611,-0.0276,9.8077,-0.057,-0.011,-0.006,-0.370,3.910
273210281,-0.6849,-0.0444,9.8029,-0.027,-0.072,0.025,-0.369,3.913
273220283,-0.6754,-0.0324,9.8053,0.034,-0.041,0.025,-0.363,3.911
273230281,-0.6706,-0.0203,9.8269,0.065,-0.011,-0.006,-0.351,3.907
273240281,-0.6611,-0.0107,9.8269,0.034,0.050,0.086,-0.336,3.900
273250281,-0.6754,-0.0107,9.8221,-0.057,0.020,-0.006,-0.323,3.899
273260281,-0.6897,-0.0276,9.8221,-0.088,0.050,-0.067,-0.319,3.905
273270282,-0.6777,-0.0517,9.8029,-0.088,-0.041,-0.006,-0.326,3.905
273280282,-0.7016,-0.0878,9.8149,-0.027,-0.041,-0.036,-0.348,3.915
273290281,-0.6825,-0.0589,9.8005,0.034,0.020,-0.036,-0.355,3.917
273300282,-0.6754,-0.0517,9.8029,0.096,0.081,-0.006,-0.357,3.917
273310281,-0.6921,-0.0468,9.8005,-0.027,0.050,0.025,-0.358,3.923
273320282,-0.6491,-0.0179,9.8053,0.034,-0.041,0.025,-0.346,3.909
273330282,-0.6801,-0.0541,9.8245,0.096,-0.011,0.025,-0.350,3.909
273340282,-0.6944,-0.0613,9.8029,0.004,-0.041,-0.036,-0.358,3.916
273350281,-0.7087,-0.0734,9.7885,-0.027,-0.011,-0.006,-0.371,3.930
273360282,-0.6873,-0.0854,9.8053,0.065,-0.011,-0.006,-0.388,3.933
273370282,-0.6777,-0.0661,9.8101,0.004,0.050,-0.006,-0.395,3.931
273380282,-0.6634,-0.0541,9.8029,-0.057,0.020,-0.006,-0.397,3.923
273390281,-0.6611,-0.0372,9.8341,-0.118,0.020,-0.006,-0.392,3.914
273400282,-0.6897,-0.0589,9.8101,0.004,0.020,-0.006,-0.395,3.919
273410281,-0.6777,-0.0878,9.8149,0.034,-0.072,0.025,-0.411,3.918
273420281,-0.7064,-0.0902,9.8413,0.065,-0.011,0.055,-0.427,3.928
273430282,-0.7016,-0.0854,9.8221,-0.057,0.020,0.055,-0.440,3.937
273440281,-0.6921,-0.0420,9.8149,0.065,-0.041,0.055,-0.432,3.941
273450282,-0.6873,-0.0372,9.8221,0.034,-0.041,-0.036,-0.423,3.942
273460281,-0.6849,-0.0348,9.8197,-0.027,-0.011,-0.006,-0.414,3.942
273470282,-0.6777,-0.0155,9.7933,0.065,-0.072,0.025,-0.396,3.939
273480282,-0.6825,-0.0300,9.8437,0.004,-0.011,0.086,-0.386,3.938
273490281,-0.6801,-0.0324,9.8269,-0.057,-0.041,-0.006,-0.379,3.935
273500281,-0.6515,-0.0227,9.8149,-0.149,-0.011,0.025,-0.369,3.922
273510281,-0.6491,-0.0300,9.8077,-0.057,-0.072,0.025,-0.362,3.907
273520282,-0.6921,-0.0251,9.8365,0.065,-0.011,-0.006,-0.353,3.913
273530283,-0.6706,-0.0203,9.8269,0.004,-0.011,0.025,-0.342,3.909
273540281,-0.6587,-0.0565,9.8413,0.004,0.050,0.086,-0.349,3.900
273550282,-0.6873,-0.0468,9.8221,0.065,-0.011,0.025,-0.350,3.904
273560281,-0.7087,-0.0565,9.8077,0.034,0.020,0.086,-0.355,3.918
273570281,-0.6921,-0.0806,9.8269,-0.027,0.111,0.025,-0.371,3.924
273580282,-0.6968,-0.0685,9.8245,0.034,0.050,0.025,-0.381,3.931
273590282,-0.6706,-0.0179,9.8221,0.065,-0.041,0.055,-0.366,3.926
273600282,-0.6706,-0.0492,9.8293,0.004,-0.041,0.055,-0.368,3.920
273610281,-0.6706,-0.0420,9.8149,0.034,-0.072,-0.006,-0.365,3.915
273620281,-0.6706,-0.0541,9.8077,0.034,0.020,0.055,-0.369,3.912
273630283,-0.6682,-0.0685,9.8245,0.126,-0.011,0.055,-0.377,3.907
273640282,-0.6706,-0.0565,9.7957,0.004,0.020,0.025,-0.381,3.904
273650281,-0.7087,-0.0685,9.8077,0.004,-0.011,-0.006,-0.390,3.918
273660282,-0.6777,-0.0734,9.8269,0.034,0.020,-0.006,-0.400,3.917
273670282,-0.6801,-0.0734,9.7957,0.065,0.020,0.055,-0.409,3.918
273680282,-0.6825,-0.0661,9.8125,0.034,-0.041,0.025,-0.414,3.919
273690282,-0.6754,-0.0613,9.8077,0.004,-0.102,0.086,-0.417,3.916
273700282,-0.6921,-0.0782,9.7957,0.034,-0.041,-0.036,-0.427,3.922
273710281,-0.6754,-0.0902,9.8461,0.034,0.020,0.025,-0.442,3.919
273720282,-0.6658,-0.0734,9.8389,0.126,-0.011,0.086,-0.447,3.912
273730281,-0.6992,-0.0444,9.8293,0.096,-0.011,0.025,-0.439,3.920
273740282,-0.6825,-0.0348,9.8197,0.126,0.020,-0.006,-0.427,3.921
273750281,-0.6634,-0.0372,9.8029,0.126,-0.041,-0.067,-0.418,3.914
273760281,-0.6515,-0.0324,9.8029,0.065,-0.041,-0.006,-0.407,3.901
273770282,-0.6754,-0.0300,9.8053,0.034,0.020,0.025,-0.396,3.901
273780281,-0.6563,-0.0227,9.8365,0.126,0.020,-0.036,-0.382,3.892
273790281,-0.6396,-0.0300,9.8053,0.218,-0.041,0.086,-0.372,3.876
273800281,-0.6682,-0.0083,9.8293,-0.027,-0.011,0.025,-0.355,3.873
273810281,-0.6706,-0.0203,9.8485,-0.027,0.081,0.055,-0.345,3.872
273820281,-0.6849,-0.0203,9.8077,-0.057,0.020,-0.006,-0.335,3.878
273830281,-0.6682,-0.0324,9.8077,-0.088,0.020,0.025,-0.332,3.877
273840282,-0.6825,-0.0517,9.8269,-0.118,0.081,0.055,-0.338,3.881
273850281,-0.6825,-0.0541,9.8221,0.034,0.050,0.025,-0.344,3.886
273860281,-0.6825,-0.0541,9.8077,0.004,-0.011,0.055,-0.349,3.889
273870282,-0.6277,-0.0613,9.8149,-0.118,-0.041,0.178,-0.358,3.868
273880282,-0.5561,-0.0709,9.8149,-0.057,-0.041,0.422,-0.370,3.817
273890282,-0.7278,-0.0444,9.8173,-0.027,-0.011,0.269,-0.369,3.845
273900282,-0.7707,-0.0420,9.7788,0.157,0.020,0.178,-0.366,3.893
273910282,-0.7135,-0.0806,9.8317,-0.149,-0.041,0.300,-0.383,3.908
273920281,-0.6849,-0.0758,9.8149,-0.027,-0.011,0.178,-0.395,3.911
273930281,-0.6706,-0.0685,9.8125,-0.027,-0.102,0.117,-0.403,3.907
273940282,-0.6682,-0.0541,9.8317,-0.057,-0.041,0.208,-0.404,3.902
273950281,-0.6515,-0.0372,9.8149,-0.027,0.050,0.269,-0.397,3.891
273960281,-0.6682,-0.0517,9.8533,0.004,0.050,0.422,-0.397,3.887
273970282,-0.6968,-0.0709,9.8269,0.126,0.020,0.300,-0.405,3.897
273980281,-0.7087,-0.0951,9.8317,0.034,-0.102,0.117,-0.423,3.910
273990281,-0.7111,-0.0830,9.7981,0.126,-0.041,0.117,-0.434,3.924
274000281,-0.7111,-0.0709,9.8437,0.034,-0.133,0.147,-0.439,3.935
274010282,-0.6754,-0.0468,9.8437,0.034,-0.072,0.055,-0.434,3.931
274020282,-0.6754,-0.0420,9.8125,0.065,0.020,-0.036,-0.426,3.928
274030281,-0.6730,-0.0324,9.8125,0.065,-0.102,0.055,-0.415,3.923
274040281,-0.6587,-0.0251,9.8389,-0.027,-0.072,-0.006,-0.402,3.912
274050282,-0.6515,-0.0300,9.8221,-0.027,-0.041,0.025,-0.392,3.899
274060281,-0.6682,-0.0203,9.8437,-0.027,-0.011,0.025,-0.379,3.895
274070282,-0.6611,-0.0203,9.8149,-0.057,0.020,0.117,-0.367,3.888
274080282,-0.6706,-0.0059,9.8245,-0.027,-0.041,0.025,-0.349,3.886
274090282,-0.6634,-0.0203,9.7981,-0.057,0.020,0.055,-0.340,3.882
274100281,-0.6563,-0.0444,9.8341,-0.027,-0.011,-0.006,-0.341,3.873
274110281,-0.6706,-0.0396,9.8413,-0.057,-0.041,0.025,-0.341,3.872
274120282,-0.6706,-0.0444,9.8245,-0.179,-0.102,0.025,-0.344,3.870
274130281,-0.6706,-0.0251,9.8077,-0.118,-0.041,0.055,-0.337,3.869
274140281,-0.6777,-0.0276,9.8317,-0.027,0.020,-0.067,-0.331,3.872
274150282,-0.6706,-0.0709,9.8341,0.065,-0.011,-0.067,-0.344,3.870
274160281,-0.6921,-0.0565,9.8341,-0.057,0.020,0.025,-0.351,3.879
274170281,-0.6825,-0.0517,9.8485,0.004,-0.041,0.025,-0.354,3.882
274180282,-0.6897,-0.0613,9.8173,0.004,-0.011,-0.006,-0.362,3.889
274190281,-0.7016,-0.0589,9.8197,0.004,-0.011,-0.036,-0.368,3.900
274200281,-0.7040,-0.0468,9.8149,-0.118,-0.011,-0.006,-0.369,3.912
274210281,-0.7016,-0.0565,9.8077,-0.057,-0.072,-0.006,-0.374,3.922
274220282,-0.6849,-0.0589,9.7885,-0.027,-0.041,0.055,-0.379,3.924
274230281,-0.6968,-0.0613,9.8245,-0.027,0.050,-0.036,-0.385,3.931
274240282,-0.6921,-0.0685,9.8269,-0.088,-0.011,0.025,-0.395,3.935
