eje,media,varianza,desv_est,offset_bias,unidad
ax,0.7936066059757235,0.00016314140529741426,0.012772681993121659,0.7936066059757235,m/s²
ay,-0.2939439675870348,9.375892951184643e-05,0.009682919472547855,-0.2939439675870348,m/s²
az,-10.266056876083764,0.00015357769711218163,0.012392646896937781,-20.072706876083764,m/s²
gx,-0.06505984060290783,0.003485647890488972,0.059039375763036084,-0.06505984060290783,°/s
gy,0.19942083500066693,0.0021127727573919666,0.045964907890606796,0.19942083500066693,°/s
gz,-0.07934332066159797,0.0019968220372531395,0.0446858147207046,-0.07934332066159797,°/s
